sample,change%,last_trade_price,open_price,volumn,today_high,today_low,previous_close,52wk_H,52wk_L,,,
4,11,7155,8512,842725,7355,5147,,4719,2029,,,
27,956,9167,8555,2169090,4367,2422,,4727,73,,,
29,492,7428,8556,11289682,7911,2304,,113,2487,,,
37,617,9852,259,14150590,7913,7711,,143,111,,,
38,159,6185,6773,1007462,2507,7712,,146,6239,,,
48,473,8624,6705,289716,7916,7715,,183,148,,,
76,492,3303,655,9117919,6038,5665,,292,8391,,,
79,1016,2907,4193,33003731,4559,1751,,303,237,,,
88,31,8995,3919,1631772,6049,5987,,4743,260,,,
100,639,668,3027,1790396,1082,2134,,398,306,,,
102,577,7152,3795,4484278,5671,5901,,406,2405,,,
110,1140,11033,7227,4045886,4748,6965,,439,504,,,
112,61,9237,5082,1528464,7926,5068,,444,2514,,,
121,789,11825,8568,1462991,6309,7722,,477,364,,,
123,285,7664,8569,1614551,2804,1477,,484,369,,,
148,772,2562,4126,1945208,2712,5762,,569,439,,,
152,623,127,4427,578201,6217,2454,,342,450,,,
168,208,11840,8578,5822233,7933,7729,,6197,491,,,
171,509,2772,4752,5004225,1995,6868,,3638,498,,,
177,912,865,3344,3710196,1088,2801,,674,3690,,,
181,1078,11849,8581,1269958,7934,7735,,690,532,,,
201,836,7803,7961,3050064,6962,7740,,756,594,,,
205,529,2796,2439,40297430,6203,4741,,770,607,,,
209,215,3721,1407,109499537,6279,5156,,785,622,,,
214,155,6602,969,1742119,1477,6286,,804,7393,,,
216,135,11065,7222,4909721,4212,7741,,811,2558,,,
240,668,11040,8597,1896469,7943,1966,,7220,4030,,,
267,880,6036,2126,2254538,3661,3288,,986,765,,,
279,856,8222,2308,329218,6789,7375,,4812,2569,,,
290,485,11870,4435,962566,7948,7759,,1067,2591,,,
291,183,6312,6115,3724003,7949,7760,,1070,44,,,
295,925,6749,3794,1094791,2876,7761,,4326,847,,,
322,499,9395,7557,586170,7955,1801,,1172,480,,,
325,498,4844,4158,1139088,4415,6002,,1182,2599,,,
359,109,11889,8612,20932604,1166,7773,,8154,1010,,,
362,509,11897,8614,3110096,7958,7774,,1300,2612,,,
383,717,8944,8618,1378584,7962,7777,,1374,1070,,,
407,1040,6194,1829,1233834,411,6039,,1450,1132,,,
423,592,11907,7962,1293781,3855,7785,,5246,2633,,,
462,292,3109,3039,1655488,5692,5134,,1629,1265,,,
464,538,2390,7931,1300101,1612,5190,,1473,1270,,,
466,7,3123,4674,994022,7122,4459,,4865,4675,,,
470,411,11330,1774,3551862,806,6364,,1657,1286,,,
500,261,7287,6844,711063,7979,6697,,2545,9060,,,
502,129,1953,6382,2226543,6064,7769,,8153,990,,,
507,374,2255,1534,6431427,7417,2867,,5277,2040,,,
516,485,6006,8013,2383078,4650,6251,,1805,1271,,,
529,490,9655,510,3546140,3038,6600,,2114,1842,,,
546,1040,2125,1283,2377846,1778,6125,,1894,1478,,,
549,245,4888,7102,16641094,3985,2887,,1418,1485,,,
554,390,336,6100,19554853,1630,3892,,1917,1076,,,
555,789,3952,8640,773072,7984,7801,,2136,1501,,,
556,748,3209,5944,3155597,1074,3347,,1923,1504,,,
562,216,4306,4147,4785854,5672,6814,,1942,1516,,,
580,468,4040,8645,5157587,7663,7806,,1971,476,,,
591,563,3139,2600,8654632,460,5938,,1439,1592,,,
627,838,2719,1883,16259324,5181,2287,,2136,101,,,
632,471,11956,8652,3324830,8004,7815,,7614,8851,,,
641,217,4209,306,14927046,805,127,,7516,1318,,,
643,1300,3968,2900,7187142,2901,6233,,1087,1726,,,
670,755,2818,2921,24647158,4464,2727,,2282,647,,,
671,1040,1122,8660,782600,6953,148,,8049,2719,,,
696,562,2568,844,21300197,757,635,,797,2731,,,
700,912,4424,4291,2322127,1018,790,,2380,1892,,,
707,610,9396,6637,2428763,5157,3130,,2404,1881,,,
748,411,2295,2640,2020452,708,965,,2217,6599,,,
759,261,4690,8676,1682646,2873,7835,,2558,2754,,,
760,270,2396,7527,19071300,8017,1547,,2562,1999,,,
768,835,4935,8677,1615683,8018,2198,,7031,1675,,,
776,292,6456,4907,3543335,403,1911,,2607,2148,,,
792,887,9851,6258,1104821,6240,3290,,2655,1551,,,
803,480,11995,8680,1077639,8023,7842,,7401,8621,,,
806,390,12003,8682,381226,8024,7843,,7866,2101,,,
813,736,24,4647,2367318,3082,5469,,2716,2778,,,
825,804,7137,4304,3319460,5636,1579,,4984,117,,,
829,468,2324,7432,5074531,8026,7844,,6367,4654,,,
835,291,2611,4337,13465430,3285,2382,,797,1859,,,
838,615,1401,6978,11032083,3535,344,,2793,282,,,
848,504,6393,8689,1214999,5477,5551,,4988,480,,,
849,135,6886,5118,8397588,3459,3166,,2828,381,,,
861,862,2580,2133,16496050,1753,7850,,2856,1125,,,
863,12,771,1627,5713112,441,1350,,2860,500,,,
877,480,846,7,11839091,538,5118,,2902,967,,,
888,494,7821,3891,3368193,7885,3112,,2932,1575,,,
895,424,7310,8696,2867033,8041,7856,,2954,2810,,,
913,606,5878,2269,1745737,2749,3506,,3002,2304,,,
922,616,2394,4868,5024518,433,1538,,3034,2323,,,
940,377,10923,7541,831176,8048,7862,,3087,2828,,,
949,435,161,4077,1314693,2186,1581,,3116,2368,,,
959,908,191,2902,2421663,2166,4084,,2267,1170,,,
960,247,12039,8703,10017903,8051,7867,,8235,2836,,,
968,1256,3919,2015,8919932,3843,228,,3178,2410,,,
970,350,138,226,8847815,2228,3981,,233,2023,,,
976,496,12050,8708,447917,8055,7870,,3199,8354,,,
980,1100,7099,1220,5186805,6415,1980,,3207,2741,,,
981,615,8102,861,1664622,5827,5477,,1253,2543,,,
984,148,5991,4051,2892077,3579,3112,,6408,2854,,,
988,182,8182,8709,833913,5680,6475,,3232,1136,,,
989,72,922,934,10163163,541,5670,,731,4926,,,
998,643,12063,6699,283482,8057,7874,,3257,2861,,,
