sample,change%,last_trade_price,open_price,volumn,today_high,today_low,previous_close,52wk_H,52wk_L,,,
4,,10862,7885,442495,7258,7119,,,,,,
27,,7136,5759,1018473,6087,7125,,,,,,
29,,4364,4801,578771,7264,7127,,,,,,
37,,7688,3254,16455434,5169,3053,,,,,,
38,,10874,7892,2131773,7267,7129,,,,,,
48,,9891,7548,476718,7272,412,,,,,,
76,,6955,,1531,,,,,,,,
79,,5513,4598,59665892,173,3213,,,,,,
88,,2733,7903,1492025,2444,4647,,,,,,
100,,2778,1097,3051593,7282,1641,,,,,,
102,,10049,2378,3134780,3825,412,,,,,,
110,,6706,6845,2423781,7287,2782,,,,,,
112,,9952,3773,1972930,1913,412,,,,,,
121,,10891,7909,820361,7289,7145,,,,,,
123,,6104,228,1947601,7291,6669,,,,,,
148,,4384,1865,982746,3853,5035,,,,,,
152,,9950,5488,1451140,5380,412,,,,,,
168,,10918,7923,1199192,7306,7156,,,,,,
171,,1286,,4518,,,,,,,,
177,,5889,1289,3743741,1777,6854,,,,,,
181,,10921,7926,858595,7310,7161,,,,,,
201,,5547,1135,10770836,7236,5598,,,,,,
205,,1260,424,50690408,3477,3294,,,,,,
209,,4026,4905,49421296,5158,2894,,,,,,
214,,10933,7934,1666516,7317,5292,,,,,,
216,,3561,7935,3006810,4300,7157,,,,,,
240,,10521,7674,1522580,3327,412,,,,,,
267,,7579,7077,1698911,5518,6768,,,,,,
279,,10475,7949,451948,7334,412,,,,,,
290,,10543,,0,,,,,,,,
291,,9888,6780,3415150,7339,412,,,,,,
295,,5492,7960,1654938,4543,4137,,,,,,
322,,2633,2186,571556,1849,6238,,,,,,
325,,10557,,1680,,,,,,,,
359,,10978,7972,33431530,7353,7197,,,,,,
362,,9888,7409,2688540,6805,412,,,,,,
383,,10389,7979,1037537,4117,7205,,,,,,
407,,644,3756,2317578,389,430,,,,,,
423,,10156,6699,3570460,6822,412,,,,,,
462,,1462,5125,1365284,5119,3499,,,,,,
464,,2713,7172,776172,3957,7224,,,,,,
466,,11014,6289,594055,7378,7225,,,,,,
470,,9967,,0,,,,,,,,
500,,10164,2916,1043850,289,412,,,,,,
502,,10454,7969,826685,7351,4663,,,,,,
507,,2541,5887,9340247,1039,3409,,,,,,
516,,9952,3431,2570790,3377,412,,,,,,
529,,9899,2716,3698430,3454,412,,,,,,
546,,1719,3738,558135,1144,395,,,,,,
549,,4823,4385,15738159,4987,2153,,,,,,
554,,5892,7695,22967926,4243,2095,,,,,,
555,,3301,3865,981573,3549,532,,,,,,
556,,5872,375,4025292,5270,4631,,,,,,
562,,1740,567,6499579,115,1919,,,,,,
580,,10134,809,8715330,2306,412,,,,,,
591,,6745,3036,8286095,3488,1033,,,,,,
627,,1058,1941,15580278,908,1853,,,,,,
632,,9944,7774,5242490,7159,412,,,,,,
641,,9952,4130,25426700,828,412,,,,,,
643,,4407,5434,2439694,4386,2635,,,,,,
670,,10125,1315,37339600,3793,412,,,,,,
671,,6323,6271,705210,7420,5480,,,,,,
696,,2731,5078,35411096,1636,5310,,,,,,
700,,3773,4189,2972998,2235,1821,,,,,,
707,,7216,6122,1994420,5602,1786,,,,,,
748,,2276,2756,1987594,4311,2514,,,,,,
759,,9945,8067,3061980,7442,412,,,,,,
760,,7680,1962,14665562,7197,5920,,,,,,
768,,10164,3069,1641940,7444,412,,,,,,
776,,9899,3273,2644930,1178,412,,,,,,
792,,7695,7683,1015481,7450,7283,,,,,,
803,,11130,8073,366981,7451,7286,,,,,,
806,,11131,8076,1323591,7454,7288,,,,,,
813,,6371,3115,2954323,7455,519,,,,,,
825,,7553,3465,6148612,4096,3674,,,,,,
829,,9421,5113,2960474,574,6407,,,,,,
835,,761,1030,13734398,3386,2040,,,,,,
838,,5238,5372,11027889,5164,5072,,,,,,
848,,6180,3180,736063,7460,7292,,,,,,
849,,2512,744,5118051,4128,3102,,,,,,
861,,4060,5259,62009988,3663,1357,,,,,,
863,,1658,1571,3622168,426,2275,,,,,,
877,,1771,2663,13314369,5130,3126,,,,,,
888,,10038,2435,5689550,6257,412,,,,,,
895,,7260,8098,1385504,3578,7305,,,,,,
913,,2537,5932,1626943,3403,4738,,,,,,
922,,1676,6779,4377509,1120,800,,,,,,
940,,9940,7859,1106250,5330,412,,,,,,
949,,9888,1214,2131740,4679,412,,,,,,
959,,9118,1291,2394269,1274,4420,,,,,,
960,,10058,7867,8235130,7240,412,,,,,,
968,,1947,,4700,,,,,,,,
970,,3605,,0,,,,,,,,
976,,11193,8119,509989,7490,7323,,,,,,
980,,3417,,112,,,,,,,,
981,,3962,7525,934245,378,5169,,,,,,
984,,11194,2294,4119419,5422,4953,,,,,,
988,,10142,1389,1300670,6470,412,,,,,,
989,,7481,3091,19779292,6319,628,,,,,,
998,,3822,8123,215249,7497,7327,,,,,,
