sample,change%,last_trade_price,open_price,volumn,today_high,today_low,previous_close,52wk_H,52wk_L,,,
4,11,7155,8512,842725,7355,5147,3623,4719,2029,,,
27,361,9167,8555,2176490,4367,2422,267,4727,73,,,
29,258,7428,8556,11323821,7911,2304,83,113,2487,,,
37,101,9852,259,14157190,7913,7711,3528,143,111,,,
38,8,6185,6773,1007662,2507,7712,6945,146,1239,,,
48,474,8624,6705,306916,7916,7715,6512,183,148,,,
76,258,3303,655,9118419,6038,5665,5420,292,8391,,,
79,184,2907,3994,33731284,4559,1751,5178,303,237,,,
88,31,8995,3919,1632472,6049,5987,6953,4743,262,,,
100,266,668,3027,1792736,1082,2134,6955,398,306,,,
102,322,7152,3795,4484278,5671,5901,6957,406,208,,,
110,337,11033,7227,4065186,4748,6965,6959,439,504,,,
112,61,9237,5082,1528464,7926,5068,3000,444,2514,,,
121,41,11825,8568,1468191,6309,7722,6960,477,364,,,
123,435,7664,8569,1622188,2804,1477,6962,484,369,,,
148,454,2562,4126,1953908,2712,5762,440,569,439,,,
152,228,127,4427,579001,6217,2454,6972,342,450,,,
168,208,11840,8578,6066961,7933,7729,6977,6197,491,,,
171,509,2772,1390,5005625,1995,6868,3310,3638,498,,,
177,356,865,3344,3710896,1088,2801,1333,674,3690,,,
181,514,11849,8581,1270938,7934,7735,6980,690,532,,,
201,205,7803,7961,3051764,6962,7740,6986,756,594,,,
205,80,2796,2439,40583245,6203,4741,1218,770,607,,,
209,215,3721,1407,105219268,6279,5156,3028,785,622,,,
214,155,6602,969,1743519,1477,6286,6990,804,7393,,,
216,135,11065,8590,4923071,4212,7741,2346,811,1240,,,
240,650,11040,8597,1897269,7943,1966,6997,7220,4030,,,
267,414,6036,2126,2258938,3661,3288,5411,986,765,,,
279,247,8222,2308,329318,6789,7375,6855,4812,2569,,,
290,485,11870,4435,972366,7948,7759,7011,1067,2591,,,
291,924,6312,6115,3724132,7949,7760,7012,1070,44,,,
295,274,6749,3794,1094791,2876,7761,7013,4326,847,,,
322,339,9395,7557,587270,7955,1801,1849,1172,480,,,
325,351,4844,4158,1139544,4415,6002,7021,1182,2599,,,
359,109,11889,8613,20933604,1166,7773,7025,7550,1010,,,
362,509,11897,8615,3114025,7958,7774,7026,1300,2612,,,
383,315,8944,8618,1379524,7962,7777,7030,1374,1071,,,
407,90,6194,1829,1234834,411,6039,1205,1450,1132,,,
423,176,11907,7962,1300021,3855,7785,7036,5246,2633,,,
462,314,3109,3039,1657621,5692,5134,5885,1629,1265,,,
464,373,2390,7931,1300801,1612,5190,6489,1473,1270,,,
466,7,3123,4674,994022,7122,4459,4238,4865,3096,,,
470,198,11330,1774,3551862,806,6364,7047,1657,1286,,,
500,178,7287,6844,711163,7979,6697,7053,2545,7697,,,
502,129,1953,6382,2226543,6064,7769,7054,6246,990,,,
507,227,2255,1145,6432967,7417,2867,4422,5277,2040,,,
516,485,6006,8013,2383078,4650,6251,7055,1805,2665,,,
529,490,9655,510,3558940,3038,6600,3156,2114,1842,,,
546,90,2125,1283,2380726,1778,6125,3941,1894,1478,,,
549,245,4888,7102,16641594,3985,2887,1408,1418,1485,,,
554,9,5938,6100,20683571,1630,3892,6276,1917,1076,,,
555,41,3952,8640,773072,7984,7801,7061,2136,1501,,,
556,374,3209,5944,3155597,1074,3347,5264,1923,1504,,,
562,217,4306,4147,4785854,5672,6814,5601,1942,1516,,,
580,109,4040,8645,5158407,7663,7806,7068,1971,476,,,
591,563,3139,2600,8700532,460,5938,4435,1439,1592,,,
627,53,2719,1883,16261924,5181,2287,2196,2136,101,,,
632,63,11956,8654,3325290,8004,7815,7079,7614,1703,,,
641,217,4209,1742,15203548,805,127,2088,7516,1318,,,
643,466,3968,2900,7203962,2901,6233,4237,1087,1726,,,
670,446,2818,2921,25068918,4464,2727,2456,2282,647,,,
671,90,1122,8660,782900,6953,148,7088,8049,2719,,,
696,66,2568,2359,21313965,757,635,5647,797,2731,,,
700,356,4424,4291,2322127,1018,790,1417,2380,1892,,,
707,113,9396,6637,2428763,5157,3130,596,2404,1881,,,
748,198,2295,2640,2020452,708,965,5642,2217,2750,,,
759,178,4690,8676,1682646,2873,7835,2192,2558,2754,,,
760,258,3252,,17993709,8017,1547,3238,2562,1999,,,
768,303,4935,644,1615683,8018,2198,7105,7031,7967,,,
776,314,6456,2253,3570575,403,1911,165,2607,2148,,,
792,132,9851,6258,1104821,6240,3290,6584,2655,1551,,,
803,481,11995,8680,1078339,8023,7842,7111,7401,2773,,,
806,271,12003,8682,382226,8024,7843,7114,7866,2101,,,
813,563,24,7590,2389638,3082,5469,7115,2716,2778,,,
825,294,7137,4304,3320360,5636,1579,5814,4984,117,,,
829,109,2324,7432,5077631,8026,7844,1453,6367,137,,,
835,291,2611,4337,13474530,3285,2382,31,797,1859,,,
838,234,1401,6978,11032483,3535,344,1112,2794,279,,,
848,177,6393,8689,1214999,5477,5551,7124,4988,480,,,
849,135,6886,5118,8397588,3459,3166,6452,2828,381,,,
861,483,2580,2133,16594373,1753,7850,5628,2856,1125,,,
863,340,769,1627,6070963,441,1350,3789,2860,500,,,
877,481,846,7,12021588,538,5118,632,2902,967,,,
888,494,7821,3891,3368193,7885,3112,7129,2932,1575,,,
895,392,7310,8696,2910267,8041,7856,4501,2954,2225,,,
913,323,5878,2269,1745837,2749,3506,82,3002,2304,,,
922,102,2394,4868,5026918,433,1538,2115,3034,2323,,,
940,323,10923,7541,831576,8048,7862,5652,3087,2828,,,
949,435,161,4077,1362287,2186,1581,4160,3116,2368,,,
959,428,191,2902,2425713,2166,4084,173,2267,1170,,,
960,247,12039,8705,10018172,8051,7867,7142,3154,8671,,,
968,531,3919,4848,8950832,3843,228,6442,3178,2410,,,
970,350,138,226,8847815,2228,3981,132,233,2023,,,
976,509,12050,8708,450517,8055,7870,7149,3199,8354,,,
980,432,7099,1220,5306805,6415,1980,6360,3207,2741,,,
981,234,8102,861,1682622,5827,5477,6209,3210,2440,,,
984,148,5991,4051,2892077,3579,3112,4139,6408,2854,,,
988,182,8182,8709,838653,5680,6475,4061,3232,1136,,,
989,72,922,934,10325455,541,5670,3577,731,8360,,,
998,91,12063,6699,283482,8057,7874,7155,3257,2861,,,
