sample,change%,last_trade_price,open_price,volumn,today_high,today_low,previous_close,52wk_H,52wk_L,,,
4,11,7155,8512,842725,7355,5147,,4719,2029,,,
27,956,9167,8555,2170000,4367,2422,,4727,73,,,
29,492,7428,8556,11290000,7911,2304,,113,2487,,,
37,617,9852,259,14150000,7913,7711,,143,111,,,
38,159,6185,6773,1010000,2507,7712,,146,1239,,,
48,473,8624,6705,289716,7916,7715,,183,148,,,
76,492,3303,655,9120000,6038,5665,,292,8391,,,
79,1016,2907,4193,33730000,4559,1751,,303,237,,,
88,31,8995,3919,1630000,6049,5987,,4743,262,,,
100,639,668,3027,1790000,1082,2134,,398,306,,,
102,577,7152,3795,4480000,5671,5901,,406,208,,,
110,1140,11033,7227,4050000,4748,6965,,439,504,,,
112,61,9237,5082,1530000,7926,5068,,444,2514,,,
121,789,11825,8568,1460000,6309,7722,,477,364,,,
123,370,7664,8569,1610000,2804,1477,,484,369,,,
148,790,721,4126,1950000,2712,5762,,569,439,,,
152,623,127,4427,578201,6217,2454,,342,450,,,
168,208,11840,8578,5800000,7933,7729,,6197,491,,,
171,509,2772,4752,5000000,1995,6868,,3638,498,,,
177,912,865,3344,3710000,1088,2801,,674,3690,,,
181,1078,11849,8581,1270000,7934,7735,,690,532,,,
201,836,7803,7961,3050000,6962,7740,,756,594,,,
205,529,2796,2439,40510000,6203,4741,,770,607,,,
209,215,3721,1407,107490000,6279,5156,,785,622,,,
214,155,6602,969,1740000,1477,6286,,804,7393,,,
216,135,11065,7222,4910000,4212,7741,,811,1240,,,
240,668,11040,8597,1900000,7943,1966,,7220,4030,,,
267,880,6036,2126,2250000,3661,3288,,986,765,,,
279,856,8222,2308,329218,6789,7375,,4812,2569,,,
290,485,11870,4435,962566,7948,7759,,1067,2591,,,
291,183,6312,6115,3720000,7949,7760,,1070,44,,,
295,925,6749,3794,1090000,2876,7761,,4326,846,,,
322,499,9395,7557,586170,7955,1801,,1172,480,,,
325,498,4844,4158,1140000,4415,6002,,1182,2599,,,
359,109,11889,8612,20930000,1166,7773,,8154,1010,,,
362,509,11897,8614,3110000,7958,7774,,1300,2612,,,
383,717,8944,8618,1380000,7962,7777,,1374,1071,,,
407,1040,6194,1829,1230000,411,6039,,1450,1132,,,
423,592,11907,7962,1290000,3855,7785,,5246,2633,,,
462,292,3109,3039,1660000,5692,5134,,1629,1265,,,
464,373,2390,7931,1300000,1612,5190,,1473,1270,,,
466,7,3123,4674,994022,7122,4459,,4865,3096,,,
470,411,11330,1774,3550000,806,6364,,1657,1286,,,
500,261,7287,6844,711063,7979,6697,,2545,7697,,,
502,129,1953,6382,2230000,6064,7769,,8153,990,,,
507,227,2255,1534,6430000,1432,2867,,5277,2040,,,
516,485,6006,8013,2380000,4650,6251,,1805,2665,,,
529,490,9655,510,3550000,3038,6600,,2114,1842,,,
546,1040,2125,1283,2380000,1778,6125,,1894,1478,,,
549,245,4888,7102,16640000,3985,2887,,1418,1485,,,
554,796,5938,6100,20660000,1630,3892,,1917,1076,,,
555,789,3952,8640,772872,7984,7801,,2136,1501,,,
556,748,3209,5944,3160000,1074,3347,,1923,1504,,,
562,216,4306,4147,4790000,5672,6814,,1942,1516,,,
580,468,4040,8645,5160000,7663,7806,,1971,476,,,
591,563,3139,2600,8650000,460,5938,,1439,1592,,,
627,838,2719,1883,16260000,5181,2287,,2136,101,,,
632,471,11956,8652,3320000,8004,7815,,7614,1703,,,
641,217,4209,306,15200000,805,127,,7516,1318,,,
643,1300,3968,2900,7190000,2901,6233,,1087,1726,,,
670,755,2818,2921,24650000,4464,2727,,2282,647,,,
671,1040,1122,8660,782600,6953,148,,8049,2719,,,
696,562,2568,844,21300000,757,635,,797,2731,,,
700,912,4424,4291,2320000,1018,790,,2380,1892,,,
707,623,8870,6637,2430000,5157,3130,,2404,1881,,,
748,411,2295,2640,2020000,708,965,,2217,2750,,,
759,261,4690,8676,1680000,2873,7835,,2558,2754,,,
760,270,2396,7527,19070000,8017,1547,,2562,1999,,,
768,835,4935,8677,1620000,8018,2198,,7031,7967,,,
776,292,6456,4907,3540000,403,1911,,2607,2148,,,
792,887,9851,6258,1100000,6240,3290,,2655,1551,,,
803,480,11995,8680,1080000,8023,7842,,7401,2773,,,
806,390,12003,8682,381226,8024,7843,,7866,2101,,,
813,736,24,4647,2370000,3082,5469,,2716,2778,,,
825,804,7137,4304,3320000,5636,1579,,4984,117,,,
829,468,2324,7432,5070000,8026,7844,,6367,137,,,
835,291,2611,4337,13470000,3285,2382,,797,1859,,,
838,615,1401,6978,11030000,3535,344,,2794,279,,,
848,504,6393,8689,1210000,5477,5551,,4988,480,,,
849,135,6886,5118,8400000,3459,3166,,2828,381,,,
861,862,2580,2133,16560000,1753,7850,,2856,1125,,,
863,684,769,1627,6030000,441,1350,,2860,500,,,
877,480,846,7,12020000,538,5118,,2902,967,,,
888,494,7821,3891,3370000,7885,3112,,2932,1575,,,
895,424,7310,8696,2910000,8041,7856,,2954,2225,,,
913,377,5878,2269,1750000,2749,3506,,3002,2304,,,
922,616,2394,4868,5020000,433,1538,,3034,2323,,,
940,377,10923,7541,831176,4538,7862,,3087,2828,,,
949,435,161,4077,1360000,1510,1581,,3116,2368,,,
959,908,191,2902,2420000,2166,4084,,3151,1170,,,
960,247,12039,8703,10020000,8051,7867,,8235,8671,,,
968,1343,1945,2015,8920000,3843,228,,3178,2410,,,
970,350,138,226,8850000,2228,3981,,233,2023,,,
976,496,12050,8708,447917,8055,7870,,3199,8354,,,
980,1100,7099,1220,5190000,6415,1980,,3207,2741,,,
981,615,8102,861,1660000,5827,5477,,3210,2440,,,
984,148,5991,4051,2890000,3579,3112,,6408,2854,,,
988,182,8182,8709,833913,5680,6475,,3232,1136,,,
989,72,922,934,10320000,427,5670,,731,8360,,,
998,643,12063,6699,283482,8057,7874,,3257,2861,,,
