entity_id,brand,number,image_resolution,white_balance,day
6,Nikon,1721,22.07789275,Flash;Fluorescent;Cloudy,1
13,Nikon,899,17.4810534,Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Shade;Sunlight;Tungsten;Cloudy,1
18,Canon,1065,18.39080655,Daylight;Sunny;Flash;Fluorescent;Halogen;Incandescent;Shade;Tungsten;Cloudy,1
19,Nikon,1677,22.07742669,Flash;Fluorescent;Cloudy,1
23,Canon,1317,17.39314156,Daylight;Sunny;Fine;Flash;Fluorescent;Shade;Tungsten;Underwater;Cloudy,1
41,Nikon,1003,23.64172126,Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Cloudy,1
44,Nikon,950,24.18269001,Cloudy;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Artificial,1
48,Canon,665,12.44340008,Daylight;Sunny;Flash;Fluorescent;Tungsten;Cloudy,1
58,Nikon,1450,10.67276466,Cloudy;Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Artificial,1
65,Fujifilm,1107,14.77601053,Sunny;Shade;Daylight,1
67,Canon,1352,14.85500566,Cloudy;Daylight;Sunny;Fluorescent;Tungsten;Artificial,1
69,Sony,1458,32.97253955,Daylight;Sunny;Shade;Underwater;Cloudy,1
70,Panasonic,916,13.06127191,Daylight;Sunny;Incandescent;Shade;Cloudy,1
75,Nikon,1284,17.06378901,Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Indoor;Shade;Sunlight;Tungsten;Cloudy,1
76,Nikon,1138,24.42504462,Sunlight,1
83,Nikon,187,10.21490255,Auto,1
88,Sony,1569,18.71933265,Daylight;Sunny;Flash;Cloudy,1
96,Canon,1411,18.76776583,Daylight;Sunny;Flash;Fluorescent;Tungsten;Cloudy,1
101,Canon,1662,21.8385981,Cloudy;Daylight;Sunny;Flash;Fluorescent;Shade;Tungsten;Artificial,1
570,Nikon,929,34.07620968,Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Tungsten;Cloudy,1
