0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1,1,1,1,1,119929,1,1,,,,,,,,,,1,1
2,1,1,1,1,1,125054,1,1,1,1,1,,1,603050000,,,1,1,1
3,1,1,1,1,1,119237,1,1,,,,17920000,,594960000,,,,1,1
4,1,2,1,1,1,119929,1,1,,1,1,19995000,,624431000,,,2,1,1
5,1,2,1,1,1,119929,1,1,1,2,1,19994581,,,,,,1,1
6,1,2,1,1,1,119929,1,1,1,2,1,19994581,,,,,,1,1
7,1,2,1,1,1,119929,1,1,1,2,1,19994581,,,,,,1,1
8,1,2,1,1,1,119237,1,1,1,2,1,19994581,,,,,,1,1
9,1,1,1,1,1,119237,1,1,1,2,1,19994581,,624000000,,,,1,1
10,1,1,1,1,1,116977,1,1,1,,,,,624400000,,,,1,1
11,1,3,1,1,1,119237,1,1,1,2,1,,,,,,3,1,1
12,1,1,1,1,1,119237,1,1,1,2,1,19995000,,612050000,,,,1,1
13,1,2,1,1,1,119237,1,1,1,2,1,19994581,,,,,,1,1
14,1,2,1,1,1,119237,1,1,1,2,1,19994581,,,,,,1,1
15,1,2,1,1,1,119237,1,1,1,2,1,19994581,,,,,,1,1
16,1,4,1,1,1,119237,1,1,1,2,1,20000000,,624000000,1,1,4,1,1
17,1,1,1,,,119237,,,1,3,2,19990000,,624290000,,,3,1,1
18,1,1,1,1,1,119237,1,1,1,2,1,,2,624430000,,,,1,1
19,1,,1,,1,119929,,,1,,,,,,,,,1,1
20,1,1,1,1,1,119237,1,1,,1,1,19990000,,624430000,,,3,1,1
21,1,2,1,1,1,116677,1,1,1,,,,,,,,,1,1
22,1,2,1,1,1,119929,1,1,1,2,1,19994581,,,,,,1,1
23,1,1,1,1,1,119929,1,1,,,,,3,,,,,1,1
24,1,1,1,1,1,,,,1,,,,,,,,,1,1
25,1,1,1,2,1,,1,1,,2,1,,,624400000,,,3,1,1
26,1,1,1,2,1,115200,1,2,1,,,19990000,2,610000000,1,,3,1,1
27,1,1,1,1,1,5552,1,1,1,1,1,,,594960000,,,,1,1
28,1,2,1,1,1,119237,1,1,1,2,1,19994581,,,,,,1,1
29,1,1,1,1,1,119237,1,1,1,2,1,19990000,4,612030000,,,3,1,1
30,1,1,1,1,1,119237,1,1,1,2,1,19995000,,624443850,,,1,1,1
31,1,1,1,1,1,119237,1,1,1,2,1,19990000,,624400000,,,3,1,1
32,1,2,1,1,1,119237,1,1,1,2,1,19994581,,,,,,1,1
33,1,1,1,1,1,119929,1,1,1,2,1,19264797,5,601640000,,,,1,1
34,1,1,1,2,,119929,1,1,1,2,1,,,,,1,3,1,1
35,1,1,1,,1,119237,,,,,,,,,,,,1,1
