Source,Symbol,Change£¤,Last_Trading_Price,Open_price,Change$,volume,Today's_high,Today's_low,Previous_close,52wkHigh,52wkLow,Shares_Outstanding,P/E,Marketcap,Yield,Dividend,EPS,attribute9,attribute10
1,1,1,1,1,1,119929,1,1,,,,,,,,,,1,1
2,1,1,1,1,1,125054,1,1,1,1,1,,1,603050000,,,1,1,1
3,1,1,1,1,1,119237,1,1,,,,17920000,,594960000,,,,1,1
4,1,2,1,1,1,119929,1,1,,1,1,19995000,,624431000,,,2,1,1
5,1,2,1,1,1,119929,1,1,1,2,1,19994581,,,,,,1,1
6,1,2,1,1,1,119929,1,1,1,2,1,19994581,,,,,,1,1
7,1,2,1,1,1,119929,1,1,1,2,1,19994581,,,,,,1,1
8,1,2,1,1,1,119237,1,1,1,2,1,19994581,,,,,,1,1
9,1,1,1,1,1,119237,1,1,1,2,1,19994581,,624000000,,,,1,1
10,1,1,1,1,1,116977,1,1,1,,,,,624400000,,,,1,1
11,1,3,1,1,1,119237,1,1,1,2,1,,,,,,3,1,1
12,1,1,1,1,1,119237,1,1,1,2,1,19995000,,612050000,,,,1,1
13,1,2,1,1,1,119237,1,1,1,2,1,19994581,,,,,,1,1
14,1,2,1,1,1,119237,1,1,1,2,1,19994581,,,,,,1,1
15,1,2,1,1,1,119237,1,1,1,2,1,19994581,,,,,,1,1
16,1,4,1,1,1,119237,1,1,1,2,1,20000000,,624000000,1,1,4,1,1
17,1,1,1,,,119237,,,1,3,2,19990000,,624290000,,,3,1,1
18,1,1,1,1,1,119237,1,1,1,2,1,,2,624430000,,,,1,1
19,1,,1,,1,119929,,,1,,,,,,,,,1,1
20,1,1,1,1,1,119237,1,1,,1,1,19990000,,624430000,,,3,1,1
21,1,2,1,1,1,116677,1,1,1,,,,,,,,,1,1
22,1,2,1,1,1,119929,1,1,1,2,1,19994581,,,,,,1,1
23,1,1,1,1,1,119929,1,1,,,,,3,,,,,1,1
24,1,1,1,1,1,,,,1,,,,,,,,,1,1
25,1,1,1,2,1,,1,1,,2,1,,,624400000,,,3,1,1
26,1,1,1,2,1,115200,1,2,1,,,19990000,2,610000000,1,,3,1,1
27,1,1,1,1,1,5552,1,1,1,1,1,,,594960000,,,,1,1
28,1,2,1,1,1,119237,1,1,1,2,1,19994581,,,,,,1,1
29,1,1,1,1,1,119237,1,1,1,2,1,19990000,4,612030000,,,3,1,1
30,1,1,1,1,1,119237,1,1,1,2,1,19995000,,624443850,,,1,1,1
31,1,1,1,1,1,119237,1,1,1,2,1,19990000,,624400000,,,3,1,1
32,1,2,1,1,1,119237,1,1,1,2,1,19994581,,,,,,1,1
33,1,1,1,1,1,119929,1,1,1,2,1,19264797,5,601640000,,,,1,1
34,1,1,1,2,,119929,1,1,1,2,1,,,,,1,3,1,1
35,1,1,1,,1,119237,,,,,,,,,,,,1,1
36,1,1,1,1,1,119237,1,1,2,2,1,,,,,,1,1,1
37,1,2,1,1,1,119237,1,1,1,2,1,19994581,,,,,,1,1
38,1,1,,1,1,5552,1,1,1,1,1,,,594960000,,,,1,1
39,1,,,,,0,,,,,,,,,,,,1,1
40,1,1,1,,1,,,,,,,,,,,,,1,1
41,1,1,1,1,1,119929,1,1,1,2,1,,,612000,1,1,,1,1
42,1,2,1,1,1,119929,1,1,1,2,1,19994581,,,,,,1,1
43,1,1,1,1,1,119240,1,1,1,2,1,,,,,,,1,1
44,1,5,2,3,2,39776,2,3,,,,,,,,,,1,1
45,1,2,1,,1,,,,,,,,,,,,,1,1
46,1,1,1,1,1,119237,1,1,1,2,1,,,,,,3,1,1
47,1,,1,2,1,119237,1,1,,,,,,,,,,1,1
48,1,1,1,1,1,119237,1,1,1,4,1,19994581,,605235967,,,,1,1
49,1,1,1,1,1,119237,1,1,1,2,1,,6,560600000,1,1,,1,1
50,1,1,1,1,1,119929,1,1,1,1,1,19994581,,624430765,,,3,1,1
51,1,1,1,1,1,113589,1,1,1,2,1,19990000000,,612000000,,,3,1,1
52,1,1,1,1,1,116677,1,1,,2,1,,,612000000,,,5,1,1
53,1,1,1,2,1,119237,1,1,1,1,1,,,624410000,,,3,1,1
54,1,1,1,,1,,,,,2,1,,,603050000,1,,3,1,1
55,1,1,1,,1,,1,1,,1,1,,7,601640000,1,1,6,1,1
