Source,Symbol,Change_C$,Last_Trading_Price,Open_price,Change$,volume,Today's_high,Today's_low,Previous_close,52wkHigh,52wkLow,Shares_Outstanding,P/E,Marketcap,Yield,Dividend,EPS,attribute9,attribute10
1,2,6,3,4,3,4569009,3,4,,,,,,,,,,1,2
2,2,7,4,4,4,4950199,3,4,3,5,3,,8,4880000000,2,2,7,1,2
3,2,,,,,,,,,,,,,,,,,1,2
4,2,6,3,4,3,4569009,3,4,,6,4,358064000,8,4860716000,3,3,8,1,2
5,2,6,4,4,3,4562850,3,4,3,6,4,358063820,,,,,,1,2
6,2,6,4,4,3,4562850,3,4,3,6,4,358063820,,,,,,1,2
7,2,6,4,4,3,4562850,3,4,3,6,4,358063820,,,,,,1,2
8,2,6,4,4,3,4551779,3,4,3,6,4,358063820,,,,,,1,2
9,2,6,4,4,3,4551779,3,4,3,6,4,358063820,9,5000000000,4,2,,1,2
10,2,6,3,4,3,4464094,3,4,3,,,,10,4900000000,5,,,1,2
11,2,8,3,4,3,4544879,3,4,3,6,4,,10,,,,7,1,2
12,2,6,3,4,3,4557938,3,4,3,6,4,358064000,11,4810000000,6,3,,1,2
13,2,6,4,4,3,4551779,3,4,3,6,4,358063820,,,,,,1,2
14,2,6,4,4,3,4551779,3,4,3,6,4,358063820,,,,,,1,2
15,2,6,4,4,3,4551779,3,4,3,6,4,358063820,,,,,,1,2
16,2,6,4,4,3,4557938,3,4,3,6,4,358000000,10,5000000000,3,2,7,1,2
17,2,6,4,,,4557938,,,3,7,5,358060000,11,4810000000,,2,7,1,2
18,2,6,4,4,3,4464094,3,4,3,6,4,,12,4860000000,7,2,,1,2
19,2,,3,,3,4569009,,,3,,,,,,,,,1,2
20,2,6,4,4,3,4560000,3,4,,6,4,358060000,13,4860000000,5,3,7,1,2
21,2,6,3,4,3,4551779,3,4,3,,,,,,,,,1,2
22,2,6,4,4,3,4562850,3,4,3,6,4,358063820,,,,,,1,2
23,2,6,4,4,3,4569009,3,4,,,,,14,,,,,1,2
24,2,6,3,4,3,,,,3,,,,,,,,,1,2
25,2,6,3,5,3,,3,4,,8,4,,15,4697000000,,,7,1,2
26,2,7,4,5,4,4401400,3,4,3,,,358060000,11,4810000000,6,,7,1,2
27,2,,,,,,,,,,,,,,,,,1,2
28,2,6,4,4,3,4551779,3,4,3,6,4,358063820,,,,,,1,2
29,2,6,3,4,3,4560000,3,4,3,6,4,358060000,9,4810000000,6,2,7,1,2
30,2,6,3,4,3,4557938,3,4,3,6,4,358064000,9,4860718800,6,2,7,1,2
31,2,6,4,4,3,4459943,3,4,3,6,4,358060000,10,4900000000,5,2,7,1,2
32,2,6,4,4,3,4551779,3,4,3,6,4,358063820,,,,,,1,2
33,2,7,3,4,4,4569009,3,4,3,6,4,354503160,11,4812380000,,3,,1,2
34,2,6,3,5,,4569009,3,4,3,8,4,,15,,5,4,7,1,2
35,2,6,3,,3,4557938,,,,,,,,,,,,1,2
36,2,6,3,4,3,4557938,3,4,4,6,4,,9,,,,7,1,2
37,2,6,4,4,3,4551779,3,4,3,6,4,358063820,,,,,,1,2
38,2,,,,,,,,,,,,,,,,,1,2
39,2,6,5,4,3,3567004,3,4,5,6,4,,13,,,,7,1,2
40,2,6,4,,3,,,,,,,,15,,,,,1,2
41,2,6,3,4,3,4569009,3,4,3,6,4,,,4812400,6,3,,1,2
42,2,6,4,4,3,4562850,3,4,3,6,4,358063820,,,,,,1,2
43,2,6,3,4,3,4560000,3,4,3,6,4,,,,,,,1,2
44,2,5,6,6,2,612371,4,5,,,,,,,,,,1,2
45,2,9,3,,3,,,,,,,,,,,,,1,2
46,2,9,3,4,3,4544879,3,4,3,6,4,,10,,,,7,1,2
47,2,,3,5,3,4557938,3,4,,,,,,,,,,1,2
48,2,6,3,4,3,4557938,3,4,3,9,4,358063820,,4747926253,,,,1,2
49,2,6,4,4,3,4557938,3,4,5,6,4,,11,4700000000,6,3,,1,2
50,2,6,3,4,3,4569009,3,4,3,6,4,358063820,11,4860716357,6,3,7,1,2
51,2,9,3,4,3,4461278,3,4,3,6,4,3.58E+11,16,4810000000,,,7,1,2
52,2,6,3,4,3,4551779,3,4,,6,4,,11,5000000000,8,4,9,1,2
53,2,6,3,5,3,4557938,3,4,3,6,4,,17,4700000000,9,2,7,1,2
54,2,9,3,,3,,,,,6,4,,10,4880000000,10,,7,1,2
55,2,9,3,,3,,3,4,,6,4,,18,4810000000,6,2,10,1,2
