Source,Symbol,Change£¤,Last_Trading_Price,Open_price,Change$,volume,Today's_high,Today's_low,Previous_close,52wkHigh,52wkLow,Shares_Outstanding,P/E,Marketcap,Yield,Dividend,EPS,attribute9,attribute10
1,4,14,10,9,8,674663,7,8,,,,,,,,,,1,4
2,4,14,10,9,8,624505,7,8,8,14,9,,39,9040000000,18,9,16,1,4
3,4,14,10,9,8,668438,7,8,,,,123000000,,8730000000,19,10,,1,4
4,4,14,10,9,8,674663,7,8,,14,10,121827000,40,9044402000,20,10,17,1,4
5,4,14,10,9,8,674263,8,8,8,15,10,121826546,,,,,,1,4
6,4,14,10,9,8,674263,8,8,8,15,10,121826546,,,,,,1,4
7,4,14,10,9,8,674263,8,8,8,15,10,121826546,,,,,,1,4
8,4,14,10,9,8,673214,8,8,8,15,10,121826546,,,,,,1,4
9,4,14,10,9,8,673214,8,8,8,15,10,121826546,41,9000000000,18,9,,1,4
10,4,14,10,9,8,671219,8,8,8,,,,42,9000000000,19,,,1,4
11,4,14,10,9,8,673214,8,8,8,15,10,,41,,,,16,1,4
12,4,14,10,9,8,673614,7,8,8,15,10,121827000,43,8940000000,21,10,,1,4
13,4,14,10,9,8,673214,8,8,8,15,10,121826546,,,,,,1,4
14,4,14,10,9,8,673214,8,8,8,15,10,121826546,,,,,,1,4
15,4,14,10,9,8,673214,8,8,8,15,10,121826546,,,,,,1,4
16,4,15,10,9,8,673614,7,8,8,15,10,122000000,42,9000000000,18,9,16,1,4
17,4,14,10,,,673614,,,8,16,11,121830000,43,8940000000,,9,16,1,4
18,4,14,10,9,8,673614,7,8,8,15,10,,44,9040000000,22,9,,1,4
19,4,,10,,8,675863,,,8,,,,,,,,,1,4
20,4,14,10,9,8,673614,7,8,,14,10,121800000,45,9040000000,19,10,16,1,4
21,4,14,10,9,8,673214,7,8,8,,,,,,,,,1,4
22,4,14,10,9,8,674263,8,8,8,15,10,121826546,,,,,,1,4
23,4,14,10,9,8,582930,7,8,,,,,40,,,,,1,4
24,4,16,11,9,9,,,,8,,,,,,,,,1,4
25,4,14,10,9,8,,7,8,,15,10,,43,9044000000,,,16,1,4
26,4,14,10,9,8,666800,7,8,8,,,121830000,43,8940000000,21,,16,1,4
27,4,14,11,9,8,11480,8,8,8,17,12,,45,8730000000,19,10,16,1,4
28,4,14,10,9,8,673214,8,8,8,15,10,121826546,,,,,,1,4
29,4,14,10,9,8,673614,8,8,8,15,10,121830000,41,8940000000,21,9,16,1,4
30,4,14,10,9,8,673614,7,8,8,15,10,121827000,41,9044436480,21,9,16,1,4
31,4,14,10,9,8,673214,8,8,8,15,10,121830000,42,9000000000,19,9,16,1,4
32,4,14,10,9,8,673214,8,8,8,15,10,121826546,,,,,,1,4
33,4,14,10,9,8,678969,7,8,8,15,10,120391043,43,8937831000,,10,,1,4
34,4,14,10,9,,675863,7,8,8,15,10,,43,,23,11,16,1,4
35,4,14,10,,8,673614,,,,,,,,,,,,1,4
36,4,14,10,9,8,673614,8,8,9,15,10,,46,,,,18,1,4
37,4,14,10,9,8,673214,8,8,8,15,10,121826546,,,,,,1,4
38,4,14,,9,8,10431,8,8,8,17,12,,45,8730000000,19,10,16,1,4
39,4,14,10,9,8,594689,7,8,8,14,10,,45,,,,16,1,4
40,4,14,10,,8,,,,,,,,43,,,,,1,4
41,4,14,10,9,8,674663,7,8,8,15,10,,,8939600,21,10,,1,4
42,4,14,10,9,8,674263,8,8,8,15,10,121826546,,,,,,1,4
43,4,14,10,9,8,674660,7,8,8,15,10,,,,,,,1,4
44,4,5,12,10,2,70847,9,9,,,,,,,,,,1,4
45,4,14,10,,8,,,,,,,,,,,,,1,4
46,4,14,10,9,8,673214,8,8,8,15,10,,41,,,,16,1,4
47,4,,10,9,8,673614,7,8,,,,,,,,,,1,4
48,4,14,10,9,8,673614,7,8,8,18,10,121826546,,8731308552,,,,1,4
49,4,14,10,9,8,673614,8,8,8,15,10,,47,8900000000,21,10,,1,4
50,4,14,10,9,8,671563,7,8,8,15,10,121826546,47,9044402775,21,10,16,1,4
51,4,14,10,9,8,668338,8,8,8,15,10,1.2182E+11,48,8940000000,,,18,1,4
52,4,14,10,9,8,673214,8,8,,15,10,,47,9000000000,18,12,19,1,4
53,4,14,10,9,8,673614,7,8,8,14,10,,41,9040000000,18,9,16,1,4
54,4,14,10,,8,,,,,15,10,,41,9040000000,24,,16,1,4
55,4,14,10,,8,,8,8,,17,10,,49,8940000000,21,9,17,1,4
