entity_id,website,brand,number,screen_type
ENTITY#022,www.makingbuyingeasy.co.uk,Philips Electronics,134,LCD
ENTITY#022,www.cleverboxes.com,Philips Electronics,295,TFT LCD 16.7 Million Colour
ENTITY#022,www.jrlinton.co.uk,Philips Electronics,410,"""Brilliance LCD Monitor"
ENTITY#022,www.kingsfieldcomputers.co.uk,Philips Electronics,842,LCD Monitor
ENTITY#022,www.imldirect.it,Philips Electronics,864,LCD Monitor
ENTITY#025,www.imldirect.it,Philips Electronics,286,LCD Monitor
ENTITY#025,www.makingbuyingeasy.co.uk,Philips Electronics,311,LCD
ENTITY#025,www.kingsfieldcomputers.co.uk,Philips Electronics,788,LCD Monitor
ENTITY#025,www.jrlinton.co.uk,Philips Electronics,1540,"""Brilliance LCD monitor"
ENTITY#027,www.kingsfieldcomputers.co.uk,Philips Electronics,123,LCD Monitor
ENTITY#027,www.cleverboxes.com,Philips Electronics,125,TFT Brilliance LCD 16.7 Million Colour
ENTITY#027,www.imldirect.it,Philips Electronics,230,LCD Monitor
ENTITY#027,www.makingbuyingeasy.co.uk,Philips Electronics,634,LED
ENTITY#027,www.jrlinton.co.uk,Philips Electronics,772,Brilliance Monitor LED Backlight with PowerSensor
ENTITY#028,www.cleverboxes.com,Philips Electronics,322,TFT LCD 16.7 Million Colour
ENTITY#028,www.makingbuyingeasy.co.uk,Philips Electronics,576,LED
ENTITY#028,www.kingsfieldcomputers.co.uk,Philips Electronics,669,LCD
ENTITY#028,www.imldirect.it,Philips Electronics,680,LCD Monitor
ENTITY#032,www.makingbuyingeasy.co.uk,Philips Electronics,304,LED
ENTITY#032,www.cleverboxes.com,Philips Electronics,318,LCD with LED Backlight 16.7 Million
ENTITY#032,www.kingsfieldcomputers.co.uk,Philips Electronics,507,LCD Monitor
ENTITY#032,www.imldirect.it,Philips Electronics,550,LCD Monitor
ENTITY#032,www.jrlinton.co.uk,Philips Electronics,585,"""Brilliance LCD Monitor"
ENTITY#033,www.cleverboxes.com,Philips Electronics,230,TFT LCD 16.7 Million Colour
ENTITY#033,www.kingsfieldcomputers.co.uk,Philips Electronics,334,LCD Monitor
ENTITY#033,www.imldirect.it,Philips Electronics,462,LCD Monitor
ENTITY#033,www.makingbuyingeasy.co.uk,Philips Electronics,557,TN+Film
ENTITY#033,www.jrlinton.co.uk,Philips Electronics,619,Brilliance LCD Monitor with Game 242G5DJEB 144Hz 24\
ENTITY#039,www.cleverboxes.com,Philips Electronics,111,Monitor
ENTITY#039,www.imldirect.it,Philips Electronics,167,Brilliance LCD Monitor
ENTITY#039,www.makingbuyingeasy.co.uk,Philips Electronics,486,LED
ENTITY#039,www.kingsfieldcomputers.co.uk,Philips Electronics,676,Brilliance LCD Monitor
ENTITY#039,www.jrlinton.co.uk,Philips Electronics,1899,273E3LHSB Widescreen LCD Monitor
ENTITY#040,www.cleverboxes.com,Philips Electronics,14,TFT LCD Million Colour
ENTITY#040,www.makingbuyingeasy.co.uk,Philips Electronics,405,TFT/LCD
ENTITY#040,www.kingsfieldcomputers.co.uk,Philips Electronics,707,LCD
ENTITY#040,www.imldirect.it,Philips Electronics,888,Monitor
ENTITY#041,www.makingbuyingeasy.co.uk,Philips Electronics,47,TFT/LCD
ENTITY#041,www.cleverboxes.com,Philips Electronics,124,TFT LCD 16.7 Million Colour
ENTITY#041,www.imldirect.it,Philips Electronics,135,LCD Monitor
ENTITY#041,www.kingsfieldcomputers.co.uk,Philips Electronics,296,LCD
ENTITY#041,www.jrlinton.co.uk,Philips Electronics,701,Brilliance LCD Monitor with SmartControl Lite
ENTITY#062,www.makingbuyingeasy.co.uk,Philips Electronics,232,IPS
ENTITY#062,www.cleverboxes.com,Philips Electronics,245,IPS TFT LCD 16.7 Million Colour
