entity,screen_type
22,LCD Monitor;LCD Monitor;LCD
25,LCD Monitor;LCD
27,LCD Monitor;LCD;TFT Brilliance LCD 16.7 Million Colour
28,TFT LCD 16.7 Million Colour;LED
32,LCD Monitor;LCD;LED
33,LCD Monitor;LCD;TFT LCD 16.7 Million Colour
39,Brilliance LCD Monitor;Brilliance LCD Monitor;Monitor
40,TFT LCD Million Colour;TFT/LCD
41,TFT/LCD;TFT LCD 16.7 Million Colour;LCD Monitor;LCD
62,IPS;IPS TFT LCD 16.7 Million Colour;LCD Monitor;LCD
88,LCD;TN+Film;TFT Brilliance LCD 16.7 million Colour
103,LCD Monitor;LED Backlight 16.7 Million Colour;LCD;LED
128,LCD Monitor;LCD
132,LCD Monitor;LCD;IPS
133,LCD Monitor;LCD;IGZO;Widescreen 1.07 Colour
168,LCD Monitor;LCD;Monitor
171,LCD Monitor;LCD
186,Monitor;LED 16.7 million Colour;LCD Monitor;LCD
190,Monitor;Widescreen IPS 16.7 Million Colour;Brilliance LCD Monitor
193,LED Backlight LCD IPS Panel 16.7 million Colour;Brilliance LCD Monitor
