atvi	0.34	11.8	11.83	-0.04	2960000.0	11.84	11.7	11.84	12.65	10.35	1.14E9		1.35E10	1.4	0.17	0.44	
adbe	0.03	31.52	31.42	-0.01	3330000.0	31.6	31.24	31.53	35.99	25.45	4.9387E8		1.557E10			1.88	
akam	0.98	31.18	31.35	-0.31	2750000.0	31.49	30.95	31.49	54.65	28.69	1.8671E8	33.17	5.82E9			0.95	
alxn	0.95	47.96	47.37	0.45	977873.0	48.0	46.73	47.51	52.5	24.65	1.8384E8		8.82E9			0.55	
altr	0.86	47.12	47.63	-0.41	2870000.0	47.8	46.82	47.53	49.59	24.43	3.2222E8	17.67	1.518E10	0.5	0.24	2.67	
amzn	1.77	213.19	208.76	3.7	3553009.0	214.45	208.73	209.49	214.45	105.8	4.5204E8	92.29	9.637E10			2.31	
amgn	0.62	57.92	58.18	-0.36	4544097.0	58.25	57.68	58.28	61.53	50.26	9.2973E8	12.04	5.385E10			4.81	
apol	1.23	47.03	46.47	0.57	2625811.0	47.41	45.99	46.46	53.61	33.75	1.3776E8					2.95	
aapl	1.8	349.43	343.0	6.17	1.2555654E7	349.83	342.5	343.26	364.9	235.56	9.24755E8	16.66				20.98	
amat	1.5	13.09	13.29	-0.2	1.2633168E7	13.3	13.0	13.29	16.93	10.27	1.32E9	11.0	1.726E10	2.41	0.32	1.19	
adsk	0.44	38.87	38.83	0.17	2200000.0	38.93	38.44	38.7	46.15	23.81	2.3095E8	37.74	8.98E9			1.03	
adp	0.41	53.67	54.0	-0.22	2220333.0	54.0	53.51	53.89	55.12	38.41	4.99705E8	21.91	2.682E10	2.67	1.44	2.45	
bidu	1.76	145.87	145.81	2.52	9690000.0	146.3	142.92	143.35	156.04	66.85	3.4881E8		5.088E10			1.82	
bbby	0.15	59.3	59.49	-0.09	2340000.0	59.5	58.99	59.39	59.53	35.55	2.49128E8	18.08				3.28	
biib	0.54	107.91	108.62	-0.59	1292181.0	109.14	107.56	108.5	109.63	47.5	2.4163E8		2.607E10			4.36	
bmc	0.61	55.45	55.75	-0.34	1078097.0	55.9	55.24	55.79	56.16	34.47	1.7593E8	22.18				2.5	
brcm	0.41	34.27	34.29	-0.14	5511956.0	34.48	34.01	34.41	47.39	29.9	4.826E8	17.29		1.05	0.36	1.98	
chrw	0.19	80.47	80.8	-0.15	787841.0	80.94	80.1	80.62	82.05	54.5	1.65564E8	33.25	1.332E10	1.44	1.16	2.42	
ca	1.21	22.89	23.09	-0.28	3152532.0	23.09	22.77	23.17	25.68	17.7	5.0738E8			0.86	0.2	1.61	
celg	0.94	60.31	60.94	-0.57	2319028.0	60.99	60.02	60.88	63.46	48.02	4.628E8	31.41	2.791E10			1.92	
cern	0.74	63.0	62.59	0.46	781447.0	63.05	62.3	62.54	63.05	36.03	1.68212E8	42.86				1.47	
chkp	1.59	57.65	56.98	0.9	2300000.0	57.91	56.67	56.75	57.91	28.9	2.0841E8					2.23	
csco	0.82	15.67	15.87	-0.13	4.35E7	15.92	15.55	15.8	26.0	14.78	5.500185E9		8.619E10		0.06	1.27	
ctxs	0.35	81.06	80.74	0.28	1250000.0	81.49	79.93	80.78	88.49	41.62	1.88E8		1.524E10			1.59	
ctsh	1.16	75.67	74.54	0.87	1976575.0	75.71	74.34	74.8	83.48	48.98	3.0425E8	29.67	2.302E10			2.55	
cmcsa	0.93	25.97	25.75	0.24	1.271E7	26.14	25.7	25.73	27.16	16.76	2.084368E9	19.67		1.75	0.45	1.32	
cost	0.31	81.29	81.69	-0.25	1830000.0	81.945	80.97	81.54	83.95	53.41	4.3781E8	25.4	3.559E10	1.18	0.96	3.2	
ctrp	0.27	44.17	43.43	0.12	2425199.0	44.64	43.07	44.05	53.16	31.35						1.11	
dell	0.0	16.98	16.94	0.0	1.8207868E7	17.15	16.93	16.98	17.15	11.34	1.89E9	10.17	3.2020000000000004E10			1.67	
