name,domain,source,author
under the midninght sun,literature,dangdang,Higashino Keigo
53,Study,dangdang,Qu Yixian
CSAPP,Computer_science;Study,dangdang,David R. O'Hallaron;Randal E. Bryant
History for children,Study;Children,dangdang,YuShui
CN,Computer_science;Study,dangdang,James F. Kurose
Magic Tree,Children,dangdang,Blyton;Enid
Cuore,Study;Children,dangdang,Edmondo De Amicis
Tumor of the Breast,Science;Study,dangdang,
Special class,Children,dangdang,Wu Meizhen
Algorithms,Computer_science;Study,dangdang,Thomas H. Cormen
Computer Organization,Computer_science,dangdang,David A. Patterson
