0,entity,Domain,Conditions,Humidity,day
4,2,Austin,Rain Mist,83,1
4,5,Austin,Light Rain,76,1
4,10,Austin,Rain Mist,80,1
4,13,Austin,Overcast,62,1
4,25,Austin,Overcast,75,1
4,31,Austin,Overcast,77,1
4,35,Austin,Overcast,75,1
4,38,Austin,Overcast,75,1
4,39,Austin,Overcast,77,1
4,43,Austin,Overcast,79,1
4,50,Austin,Haze,72,1
4,60,Austin,Overcast,85,1
4,91,Austin,Scattered Clouds,53,1
4,104,Austin,Clear,47,1
4,112,Austin,Clear,47,1
4,130,Austin,Overcast,78,1
4,132,Austin,Overcast,78,1
4,145,Austin,Haze,68,1
4,149,Austin,Light Rain Mist,98,1
4,154,Austin,Overcast,98,1
4,156,Austin,Light Rain Mist,98,1
4,167,Austin,Light Rain Mist,98,1
4,174,Austin,Fog;Mist,93,1
4,205,Austin,Overcast,89,1
4,209,Austin,Overcast,93,1
4,251,Austin,Fog;Mist,86,1
4,254,Austin,Fog;Mist,86,1
4,257,Austin,Overcast with Haze,80,1
4,259,Austin,Haze,75,1
4,273,Austin,Light Rain Mist,86,1
4,275,Austin,Light Rain Mist,96,1
4,280,Austin,Light Rain Mist,98,1
4,302,Austin,Overcast,80,1
4,314,Austin,Light Rain Fog;Mist,93,1
4,315,Austin,Light Rain Fog;Mist,90,1
4,324,Baltimore,Mostly Cloudy,50,1
4,342,Baltimore,Clear,50,1
4,376,Baltimore,Fair,43,1
4,382,Baltimore,A Few Clouds,57,1
4,398,Baltimore,Overcast,40,1
4,407,Baltimore,Overcast,47,1
4,408,Baltimore,Overcast,45,1
4,428,Baltimore,Light Snow Mist,84,1
4,441,Baltimore,Light Snow,77,1
4,462,Baltimore,Clear,47,1
4,467,Baltimore,Clear,47,1
4,483,Baltimore,Clear,65,1
4,496,Baltimore,Mostly Cloudy,65,1
4,498,Baltimore,Partly Cloudy,60,1
4,517,Baltimore,Scattered Clouds,55,1
4,528,Baltimore,Scattered Clouds,75,1
4,535,Baltimore,Haze,74,1
4,552,Baltimore,Mostly Cloudy,61,1
4,565,Baltimore,Overcast,75,1
4,600,Baltimore,Overcast,88,1
4,611,Baltimore,Light Snow,79,1
4,625,Baltimore,Fog;Mist,85,1
4,646,Boston,Clear,44,1
4,649,Boston,Clear,34,1
4,655,Boston,Partly Cloudy,27,1
4,660,Boston,Clear,36,1
4,669,Boston,Overcast,42,1
4,671,Boston,Overcast,46,1
4,673,Boston,Mostly Cloudy,46,1
4,676,Boston,Clear,50,1
4,684,Boston,Partly Cloudy,34,1
4,692,Boston,Scattered Clouds,29,1
4,731,Boston,Clear,31,1
4,734,Boston,Clear,36,1
4,746,Boston,Scattered Clouds,40,1
4,756,Boston,Overcast,38,1
4,768,Boston,Overcast,44,1
4,774,Boston,Scattered Clouds,40,1
4,776,Boston,Scattered Clouds,34,1
4,789,Boston,Overcast,55,1
4,791,Boston,Overcast,55,1
4,798,Boston,Clear,64,1
4,801,Boston,Clear,63,1
4,831,Boston,Scattered Clouds,59,1
4,837,Boston,Partly Cloudy,33,1
4,843,Boston,Overcast,46,1
4,848,Boston,Partly Cloudy,50,1
4,852,Boston,Partly Cloudy,54,1
4,859,Boston,Overcast,40,1
4,908,Boston,Overcast,63,1
4,961,Charlotte,Overcast,62,1
4,965,Charlotte,Scattered Clouds,55,1
4,997,Charlotte,Scattered Clouds,81,1
4,1000,Charlotte,Mostly Cloudy,84,1
4,1001,Charlotte,Mostly Cloudy,81,1
