0,entity,Domain,Conditions,Humidity,day
7,2,Austin,Rain,93,1
7,5,Austin,Showers,87,1
7,10,Austin,Rain,93,1
7,13,Austin,Cloudy,76,1
7,25,Austin,Cloudy,86,1
7,31,Austin,Cloudy,89,1
7,35,Austin,Cloudy,81,1
7,38,Austin,Cloudy,82,1
7,39,Austin,Cloudy,87,1
7,43,Austin,Cloudy,87,1
7,50,Austin,Cloudy,82,1
7,60,Austin,Overcast,85,1
7,91,Austin,Cloudy,63,1
7,104,Austin,Partly Cloudy,65,1
7,112,Austin,Sunny,54,1
7,130,Austin,Cloudy,84,1
7,132,Austin,Cloudy,82,1
7,145,Austin,Cloudy,80,1
7,149,Austin,Showers,93,1
7,154,Austin,Cloudy,93,1
7,156,Austin,Rain,100,1
7,167,Austin,Cloudy,95,1
7,174,Austin,Fog;Mist,93,1
7,205,Austin,Fog,93,1
7,209,Austin,Fog,93,1
7,251,Austin,Fog;Mist,86,1
7,254,Austin,Fog;Mist,86,1
7,257,Austin,Overcast with Haze,80,1
7,259,Austin,Cloudy,81,1
7,273,Austin,Showers,86,1
7,275,Austin,Rain,93,1
7,280,Austin,Showers,97,1
7,302,Austin,Overcast,80,1
7,314,Austin,Light Rain Fog;Mist,93,1
7,315,Austin,Light Rain Fog;Mist,90,1
7,324,Baltimore,Partly Cloudy,30,1
7,342,Baltimore,Clear,37,1
7,376,Baltimore,Fair,43,1
7,382,Baltimore,A Few Clouds,57,1
7,398,Baltimore,Overcast,40,1
7,407,Baltimore,Cloudy,27,1
7,408,Baltimore,Cloudy,28,1
7,428,Baltimore,Snow,76,1
7,441,Baltimore,Snow Showers,55,1
7,462,Baltimore,Sunny,22,1
7,467,Baltimore,Sunny,29,1
7,483,Baltimore,Clear,53,1
7,496,Baltimore,Mostly Cloudy,65,1
7,498,Baltimore,Partly Cloudy,60,1
7,517,Baltimore,Partly Cloudy,43,1
7,528,Baltimore,Partly Cloudy,69,1
7,535,Baltimore,Cloudy,66,1
7,552,Baltimore,Mostly Cloudy,61,1
7,565,Baltimore,Overcast,75,1
7,600,Baltimore,Mostly Cloudy,78,1
7,611,Baltimore,Light Snow,79,1
7,625,Baltimore,Fog;Mist,85,1
7,646,Boston,Clear,42,1
7,649,Boston,Sunny,38,1
7,655,Boston,Mostly Sunny,26,1
7,660,Boston,Partly Cloudy,32,1
7,669,Boston,Cloudy,40,1
7,671,Boston,Cloudy,44,1
7,673,Boston,Some Clouds,44,1
7,676,Boston,Clear,48,1
7,684,Boston,Partly Sunny,36,1
7,692,Boston,Mostly Clear,29,1
7,731,Boston,Clear,30,1
7,734,Boston,Clear,36,1
7,746,Boston,Partly Sunny,40,1
7,756,Boston,Cloudy,38,1
7,768,Boston,Cloudy,44,1
7,774,Boston,Partly Sunny,38,1
7,776,Boston,Partly Sunny,35,1
7,789,Boston,Cloudy,58,1
7,791,Boston,Cloudy,56,1
7,798,Boston,Clear,63,1
7,801,Boston,Clear,65,1
7,831,Boston,Partly Cloudy,60,1
7,837,Boston,Mostly Clear,31,1
7,843,Boston,Cloudy,44,1
7,848,Boston,Partly Cloudy,48,1
7,852,Boston,Partly Cloudy,54,1
7,859,Boston,Cloudy,41,1
7,908,Boston,Cloudy,66,1
7,961,Charlotte,Mostly Cloudy,48,1
7,965,Charlotte,Partly Cloudy,44,1
7,997,Charlotte,Partly Cloudy,90,1
7,1000,Charlotte,Partly Cloudy,92,1
7,1001,Charlotte,Partly Cloudy,91,1
7,1011,Charlotte,Mostly Sunny,45,1
7,1074,Charlotte,Cloudy,73,1
7,1080,Charlotte,Cloudy,72,1
7,1083,Charlotte,Mostly Cloudy,66,1
7,1084,Charlotte,Partly Cloudy,72,1
7,1086,Charlotte,Partly Cloudy,77,1
7,1107,Charlotte,Mostly Clear,57,1
7,1113,Charlotte,Clear,70,1
7,1152,Charlotte,Partly Cloudy,57,1
7,1154,Charlotte,Mostly Clear,49,1
7,1166,Charlotte,Cloudy,72,1
7,1183,Charlotte,Cloudy,90,1
7,1224,Charlotte,Cloudy,92,1
7,1226,Charlotte,Cloudy,92,1
7,1234,Charlotte,Fog,98,1
7,1237,Charlotte,Fog,95,1
7,1239,Charlotte,Fog,94,1
7,1240,Charlotte,Fog,93,1
7,1286,Chicago,Mostly Cloudy,47,1
7,1288,Chicago,Mostly Cloudy,44,1
7,1294,Chicago,Cloudy,33,1
7,1298,Chicago,Cloudy,53,1
7,1304,Chicago,Partly Cloudy,52,1
7,1308,Chicago,Partly Cloudy,58,1
7,1313,Chicago,Mostly Cloudy,61,1
7,1317,Chicago,Cloudy,65,1
7,1318,Chicago,Cloudy,61,1
7,1331,Chicago,Cloudy,52,1
7,1333,Chicago,A Few Clouds,60,1
7,1335,Chicago,Fair,65,1
7,1341,Chicago,Partly Cloudy,65,1
7,1342,Chicago,Partly Cloudy,65,1
7,1343,Chicago,A Few Clouds,68,1
7,1350,Chicago,Overcast,62,1
7,1365,Chicago,Cloudy,52,1
7,1388,Chicago,Partly Cloudy,42,1
7,1393,Chicago,Partly Cloudy,53,1
7,1403,Chicago,Mostly Cloudy,71,1
7,1406,Chicago,Mostly Cloudy,63,1
7,1411,Chicago,Mostly Cloudy,76,1
7,1416,Chicago,Partly Cloudy,71,1
7,1438,Chicago,Partly Cloudy,78,1
7,1440,Chicago,Cloudy,80,1
7,1450,Chicago,Overcast,72,1
7,1462,Chicago,Overcast with Haze,78,1
7,1468,Chicago,Overcast with Haze,78,1
7,1472,Chicago,Partly Cloudy,50,1
7,1486,Chicago,Snow Showers,88,1
7,1503,Chicago,Cloudy,81,1
7,1507,Chicago,Overcast with Haze,63,1
7,1546,Chicago,Cloudy,79,1
7,1557,Chicago,Cloudy,77,1
7,1570,Chicago,Light Snow Fog;Mist,85,1
7,1573,Chicago,Light Snow,79,1
7,1583,Chicago,Overcast with Haze,81,1
7,1588,Chicago,Overcast with Haze,81,1
7,1611,Columbus,Mostly Cloudy,41,1
7,1614,Columbus,Partly Cloudy,46,1
7,1631,Columbus,Mostly Clear,74,1
7,1633,Columbus,Partly Cloudy,81,1
7,1641,Columbus,Sunny,69,1
7,1642,Columbus,Partly Cloudy,69,1
7,1646,Columbus,Sunny,53,1
7,1651,Columbus,Partly Cloudy,46,1
7,1686,Columbus,Partly Cloudy,58,1
7,1696,Columbus,Mostly Cloudy,57,1
7,1703,Columbus,Mostly Cloudy,59,1
7,1717,Columbus,Mostly Clear,61,1
7,1723,Columbus,Clear,81,1
7,1740,Columbus,Mostly Sunny,62,1
7,1745,Columbus,Sunny,46,1
7,1752,Columbus,Cloudy,74,1
7,1753,Columbus,Cloudy,77,1
