0,entity,Domain,Conditions,Humidity,day
13,2,Austin,Mist,93,1
13,5,Austin,Rain Fog;Mist,93,1
13,10,Austin,Rain Fog;Mist,93,1
13,13,Austin,Mostly Cloudy,74,1
13,25,Austin,Cloudy,93,1
13,31,Austin,Cloudy,93,1
13,35,Austin,Cloudy,93,1
13,38,Austin,Cloudy,86,1
13,39,Austin,Cloudy,86,1
13,43,Austin,Cloudy,93,1
13,50,Austin,Mostly Cloudy,87,1
13,60,Austin,Overcast,85,1
13,91,Austin,Partly Cloudy,64,1
13,104,Austin,Fair,72,1
13,112,Austin,Fair,53,1
13,130,Austin,Overcast,85,1
13,132,Austin,Overcast,85,1
13,145,Austin,Overcast with Haze,82,1
13,149,Austin,Rain,100,1
13,154,Austin,Cloudy,93,1
13,156,Austin,Rain,100,1
13,167,Austin,Rain,100,1
13,174,Austin,Fog;Mist,93,1
13,205,Austin,Light Fog,100,1
13,209,Austin,Light Fog,100,1
13,251,Austin,Fog;Mist,86,1
13,254,Austin,Fog;Mist,86,1
13,257,Austin,Overcast with Haze,80,1
13,259,Austin,Cloudy,87,1
13,273,Austin,Rain,87,1
13,275,Austin,Rain,100,1
13,280,Austin,Rain,100,1
13,302,Austin,Overcast,80,1
13,314,Austin,Light Rain Fog;Mist,93,1
13,315,Austin,Light Rain Fog;Mist,90,1
13,324,Baltimore,Mostly Cloudy,41,1
13,342,Baltimore,Clear,52,1
13,376,Baltimore,Fair,43,1
13,382,Baltimore,A Few Clouds,57,1
13,398,Baltimore,Overcast,40,1
13,407,Baltimore,Overcast,34,1
13,408,Baltimore,Mostly Cloudy,35,1
13,428,Baltimore,Snow,77,1
13,441,Baltimore,Light Snow,68,1
13,462,Baltimore,Fair,34,1
13,467,Baltimore,Fair,28,1
13,483,Baltimore,Clear,61,1
13,496,Baltimore,Mostly Cloudy,65,1
13,498,Baltimore,Partly Cloudy,60,1
13,517,Baltimore,Mostly Clear,55,1
13,528,Baltimore,Some Clouds,81,1
13,535,Baltimore,Cloudy,81,1
13,552,Baltimore,Mostly Cloudy,61,1
13,565,Baltimore,Overcast,75,1
13,600,Baltimore,Cloudy,86,1
13,611,Baltimore,Light Snow,79,1
13,625,Baltimore,Fog;Mist,85,1
13,646,Boston,Clear,42,1
13,649,Boston,Sunny,38,1
13,655,Boston,Mostly Sunny,26,1
13,660,Boston,Partly Cloudy,32,1
13,669,Boston,Cloudy,40,1
13,671,Boston,Cloudy,44,1
13,673,Boston,Some Clouds,44,1
