22_2,5.400235618
25_2,5
27_2,4.91305422
28_2,4.872858177
32_2,4.841456829
33_2,5.36681041
39_2,3.568469119
40_2,4.819695583
41_2,4.894831309
62_2,15.10743823
88_2,1.863241398
103_2,4.709833331
128_2,6.508493947
132_2,5.452523055
133_2,7.481648931
168_2,2.071719452
171_2,2.019846024
186_2,4.975943294
190_2,4.874532936
193_2,4.805533954
22_1,5
25_1,5
27_1,5
28_1,5
32_1,2
33_1,1
39_1,2
40_1,5
41_1,5
62_1,2
88_1,4
103_1,5
128_1,6
132_1,5
133_1,8
168_1,2
171_1,4
186_1,5
190_1,2
193_1,5
22_3,5
25_3,5
27_3,5
28_3,5
32_3,2
33_3,1
39_3,5
40_3,5
41_3,2
62_3,2
88_3,2
103_3,5
128_3,6
132_3,5
133_3,2
168_3,4
171_3,2
186_3,5
190_3,2
193_3,5
22_4,5
25_4,5
27_4,5
28_4,2
32_4,2
33_4,2
39_4,5
40_4,5
41_4,5
62_4,2
88_4,2
103_4,2
128_4,2
132_4,2
133_4,2
168_4,4
171_4,2
186_4,5
190_4,2
193_4,5
22_5,5
25_5,5
27_5,5
28_5,2
32_5,5
33_5,2
39_5,5
40_5,2
41_5,2
62_5,2
88_5,2
103_5,5
128_5,2
132_5,2
133_5,8
168_5,2
171_5,4
186_5,5
190_5,5
193_5,5
