22_2,1,5:04,"['LCD Monitor', 'LCD Monitor', 'LCD']",1
25_2,1,16:09,"['LCD Monitor', 'LCD Monitor', 'LCD']",1
27_2,1,16:09,"['LCD Monitor', 'LCD Monitor', 'LCD']",1
28_2,1,16:10,"['LCD Monitor', 'LCD Monitor', 'LCD']",1
32_2,1,16:09,"['LCD Monitor', 'LCD Monitor', 'LCD']",1
33_2,1,16:10,"['LCD Monitor', 'LCD Monitor']",1
39_2,1,16:10,"['LCD Monitor', 'LCD Monitor']",1
40_2,1,16:09,"['LCD Monitor', 'LCD Monitor']",1
41_2,1,16:10,"['LCD Monitor', 'LCD Monitor']",1
62_2,1,16:10,"['LCD Monitor', 'LCD Monitor']",1
88_2,1,16:10,"['LCD Monitor', 'LCD Monitor', 'TFT Brilliance LCD 16.7 Million Colour']",1
103_2,1,16:10,"['LCD Monitor', 'LCD Monitor', 'TFT Brilliance LCD 16.7 Million Colour']",1
128_2,1,16:11,"['LCD Monitor', 'LCD Monitor', 'TFT Brilliance LCD 16.7 Million Colour']",1
132_2,1,21:09,"['LCD Monitor', 'LCD Monitor', 'TFT Brilliance LCD 16.7 Million Colour']",1
133_2,1,16:09,"['LCD Monitor', 'LCD Monitor', 'TFT Brilliance LCD 16.7 Million Colour']",1
168_2,1,16:08,"['TFT LCD 16.7 Million Colour', 'LED']",1
171_2,1,16:10,"['TFT LCD 16.7 Million Colour', 'LED']",1
186_2,1,16:09,"['TFT LCD 16.7 Million Colour', 'LED']",1
190_2,1,16:09,"['TFT LCD 16.7 Million Colour', 'LED']",1
193_2,1,16:08,"['TFT LCD 16.7 Million Colour', 'LED']",1
22_1,1,5:04,"['LCD Monitor', 'LCD Monitor', 'LED']",1
25_1,1,16:10,"['LCD Monitor', 'LCD Monitor', 'LED']",1
27_1,1,16:09,"['LCD Monitor', 'LCD Monitor', 'LED']",1
28_1,1,16:09,"['LCD Monitor', 'LCD Monitor', 'LED']",1
32_1,1,16:09,"['LCD Monitor', 'LCD Monitor', 'LED']",1
