22_2,"""Brilliance LCD Monitor"
25_2,LCD
27_2,LED
28_2,LED
32_2,LED
33_2,Brilliance LCD Monitor with Game 242G5DJEB 144Hz 24\
39_2,LED
40_2,TFT/LCD
41_2,TFT/LCD
62_2,IPS
88_2,ProLite E2483HS - A HD LED Monitor with 2 ms Response Time
103_2,LED
128_2,IPS
132_2,IPS
133_2,IGZO
168_2,VG278HE Widescreen LCD Monitor
171_2,16.7 million Colours
186_2,VW22ATL Widescreen LCD Monitor
190_2,IPS
193_2,IPS
22_1,LCD
25_1,LCD
27_1,LED
28_1,LED
32_1,LED
33_1,Brilliance LCD Monitor with SmartImage Game 242G5DJEB 144Hz 24\
39_1,LED
40_1,LCD/TFT
41_1,LCD/TFT
62_1,IPS
88_1,ProLite E2483HS - A Full HD LED Monitor with 2 ms Response Time
103_1,LED
128_1,IPS
132_1,IPS
133_1,IGZO
168_1,VG278HE Widescreen LCD Monitor
171_1,16.7 million Colours
186_1,VW22ATL Widescreen LCD Monitor
190_1,IPS
193_1,IPS
22_3,"""Brilliance LCD Monitor"
25_3,LCD
27_3,LED
28_3,LED
32_3,LED
33_3,Brilliance LCD Monitor with Game 242G5DJEB 144Hz 24\
39_3,LED
40_3,TFT/LCD
41_3,TFT/LCD
62_3,IPS
88_3,ProLite E2483HS - A HD LED Monitor with 2 ms Response Time
103_3,LED
128_3,IPS
132_3,IPS
133_3,IGZO
168_3,VG279HE Widescreen LCD Monitor
171_3,16.7 million Colours
186_3,TN+Films
190_3,IPS
193_3,IP
22_4,"""Brilliance LCD Monitor"
25_4,LCD Monitor
27_4,LEDs
28_4,LED
32_4,LED
33_4,Film
39_4,LED
40_4,TFT/LCD
41_4,TFT/LCD
62_4,IPS
88_4,ProLite E2483HS HD LED Monitor with 2 ms Response Time
103_4,LED
128_4,IP
132_4,IPS
133_4,IGZO
168_4,VG278HE Widescreen LED Monitor
171_4,16.7 Billion Colours
186_4,Vv22ATL Widescreen LCD Monitor
190_4,IPS
193_4,IP
22_5,LC
25_5,LED
27_5,Brilliance Monitor LED Backlight with PowerSensor
28_5,LED
32_5,LED
33_5,TN+
39_5,LEDS
40_5,TFT/LCD
41_5,TFT/LCD
62_5,IPS
88_5,TN+Film
103_5,LED
128_5,IPS
132_5,IPS
133_5,IG
168_5,VG278HE Widescreen LCD Monitor
171_5,16.7 million Colours
186_5,TN
190_5,IPS
193_5,IP
