2,heavy rain
5,Rain Fog/Mist
10,Thunderstorm
13,Rain
25,Mist
31,mostly cloudy
35,mostly cloudy
38,Short term forecastCloudy
39,Short term forecastFog
43,Drizzle
50,Light Fog
60,Overcast
91,clear sky
104,Cloudy
112,Partly Cloudy
130,mostly cloudy
132,mostly cloudy
145,Overcast with Haze
149,Light Rain Mist
154,Drizzle
156,Light Rain Mist
167,Light Rain Mist
174,Fog/Mist
205,Light Fog
209,Light Fog
251,Fog/Mist
254,Fog/Mist
257,Overcast with Haze
259,Short term forecastHaze
273,Light Rain Mist
275,Light Rain Mist
280,Light Rain Mist
302,Overcast
314,Light Rain Fog/Mist
315,Light Rain Fog/Mist
324,Some Clouds
342,Clear
376,Fair
382,A Few Clouds
398,Overcast
407,normal
408,normal
428,Light Snow
441,normal
462,normal
467,normal
483,normal
496,Mostly Cloudy
498,Partly Cloudy
517,normal
528,Scattered Clouds
535,normal
552,Mostly Cloudy
565,Overcast
600,normal
611,Light Snow
625,Fog/Mist
646,Clear
649,Fair/Windy
655,Few Clouds
660,Clear
669,Cloudy
671,Cloudy
673,Some Clouds
676,Clear
684,Few Clouds
692,Scattered Clouds
731,Clear
734,Clear
746,Partly Cloudy
756,Cloudy
768,Cloudy
774,Mostly Clear
776,Mostly Clear
789,Cloudy
791,Cloudy
798,Clear
801,Clear
831,Mostly Clear
837,Few Clouds
843,Partly Cloudy
848,Partly Cloudy
852,Partly Cloudy
859,Intermittent Clouds
908,Cloudy
961,Winter storm warningClear
965,Cloudy
997,Special weather statementFog
1000,Clouds And Sun
1001,clear sky
1011,clear sky
1074,Winter Weather AdvisoryCloudy
1080,Winter Weather AdvisoryCloudy
1083,mostly cloudy
1084,Few Clouds
1086,Few Clouds
1107,clear sky
1113,Mostly Clear
1152,Clouds And Sun
1154,Mostly Sunny
1166,Weather WarningsCloudy
1183,Light Drizzle Mist
1224,mostly cloudy
1226,mostly cloudy
1234,mostly cloudy
1237,mostly cloudy
1239,mostly cloudy
1240,Light Fog
1286,Some Clouds
1288,Clouds And Sun
1294,Clouds And Sun
1298,Cloudy
1304,clear sky
1308,clear sky
1313,mostly cloudy
1317,mostly cloudy
1318,mostly cloudy
1331,mostly cloudy
1333,A Few Clouds
1335,Fair
1341,Partly Cloudy
1342,Partly Cloudy
1343,A Few Clouds
1350,Overcast
1365,Clouds And Sun
1388,clear sky
1393,Clouds And Sun
1403,mostly cloudy
1406,Some Clouds
1411,mostly cloudy
1416,clear sky
1438,Some Clouds
1440,mostly cloudy
1450,Overcast
1462,Overcast with Haze
1468,Overcast with Haze
1472,Mostly Sunny
1486,light snow
1503,Flurries
1507,Overcast with Haze
1546,mostly cloudy
1557,mostly cloudy
1570,Light Snow Fog/Mist
1573,Light Snow
1583,Overcast with Haze
1588,Overcast with Haze
1611,Mostly Cloudy
1614,Partly Cloudy
1631,Mostly Clear
1633,clear sky
1641,Clouds And Sun
1642,Clouds And Sun
1646,Clouds And Sun
1651,Partly Cloudy
1686,Partly Cloudy
1696,Mostly Cloudy
1703,Mostly Cloudy
1717,Intermittent Clouds
1723,clear sky
1740,clear sky
1745,clear sky
1752,mostly cloudy
1753,mostly cloudy
1754,mostly cloudy
1800,clear sky
1871,mostly cloudy
1874,mostly cloudy
1926,Light Rain Mist
1940,Clear
1959,Mist
1961,Light Fog
1963,Light Fog
1968,mostly cloudy
1985,Fog/Mist
1995,Overcast with Haze
1999,Overcast
2010,Light Snow
2014,Flood warningCloudy
2024,Flood warningCloudy
2026,Flood warningCloudy
