Symbol,Change_C$,Last_Trading_Price,Open_price,Change$,volume,Today's_high,Today's_low,Previous_close,52wkHigh,52wkLow,Shares_Outstanding,P/E,Marketcap,Yield,Dividend,EPS,attribute9,attribute10
1,63,5432,4061,101,112715,193,570,2494,4131,1,,6520,630860000,,,1,5,4001
2,147,3425,4062,97,5232162,3707,3616,2495,5,3,,5160,4950000000,423,2,7,5,4002
3,482,2311,779,4,21,2948,1442,2496,10,730,,,,,,,5,4003
4,110,1488,4064,136,667236,3708,3617,2497,4719,520,,3259,9230000000,19,9,16,5,4004
5,1179,1914,2319,74,1289787,3709,1492,2498,19,13,,5164,121910000,,,20,5,4005
6,268,1774,4066,100,373571,3710,3618,787,22,2481,,537,958370000,515,13,23,5,4006
7,262,2058,4067,78,300574,3711,1719,2499,26,18,,6527,1350000000,374,16,28,5,4007
8,209,1654,4068,102,864883,2732,3620,2500,32,21,,1606,5520000000,,,35,5,4008
9,295,1271,515,51,424004,3590,3621,1014,4721,23,,2048,1400000000,336,21,41,5,4009
10,265,5438,4070,105,75772,3712,3622,1305,42,26,,189,864260000,,,45,5,4010
11,315,2951,32,13,24774,3713,1806,2140,46,28,,2,190340000,,,51,5,4011
12,634,973,3215,32,108125,24,2264,2501,49,31,,973,181280000,326,26,58,5,4012
13,302,4059,1343,115,1992176,603,3624,2502,53,34,,5175,4090000000,450,27,63,5,4013
14,590,1483,2580,17,74825,3714,3365,1105,57,37,,2,241830000,,,65,5,4014
15,641,5440,4073,62,100961,1337,1006,2503,60,39,,2,511790000,,,70,5,4015
16,55,45,47,23,232760,32,35,33,63,41,,2,11770000,,,72,5,4016
17,10,5442,4075,388,60263,3716,3625,2504,67,44,,2379,3390000000,,,81,5,4017
18,40,4771,951,34,858596,3571,3293,1857,70,47,,2303,712420000,,,88,5,4018
19,307,2675,2728,37,104488,3717,3626,2505,73,50,,500,1290000000,62,31,92,5,4019
20,6,4218,1964,19,130830,3718,3627,2506,77,4055,,582,2140000000,570,35,100,5,4020
21,860,2048,424,114,102336,3118,1180,771,81,57,,495,442690000,90,37,106,5,4021
22,377,2786,1050,23,75608,2074,1402,2507,85,60,,2,203620000,,,113,5,4022
23,1004,5445,4080,205,1159970,753,1706,534,90,767,,2,2320000000,,,116,5,4023
24,79,67,68,6,283500,49,51,48,93,66,,248,262530000,,,119,5,4024
25,306,5447,4081,78,1404973,2012,941,2509,4149,68,,6554,1690000000,,,123,5,4025
26,366,5448,4083,28,151568,3720,2169,1618,4726,70,,855,941330000,,,87,5,4026
27,484,5449,4084,175,1258109,3721,3629,2510,4727,73,,518,10090000000,,,36,5,4027
28,37,5288,2065,167,62424,2360,3631,2511,108,76,,1109,579430000,84,27,135,5,4028
29,116,4133,4086,105,11024016,3723,3632,2512,112,4401,,900,97410000000,80,40,140,5,4029
30,303,3070,1224,82,250054,3724,3241,921,116,83,,2,944420000,93,42,146,5,4030
31,1181,773,4088,153,2302420,1044,1069,2513,4728,86,,6561,375060000,249,44,148,5,4031
32,414,532,390,4,28631,2710,3633,2514,123,89,,4994,335620000,663,11,153,5,4032
33,510,759,4089,62,165130,2057,3634,2515,128,4404,,1266,452360000,,,158,5,4033
34,303,3843,4090,45,61157,3725,3635,2516,131,98,,6562,203930000,,,165,5,4034
35,270,5455,3581,94,1669293,366,657,2517,651,1957,,3491,6780000000,181,44,170,5,4035
36,135,5459,4092,283,412435,3726,3636,2518,139,107,,2069,37950000000,125,51,176,5,4036
37,481,5386,456,97,24473800,3727,3097,1875,143,111,,3929,9360000000,,,183,5,4037
38,177,5464,4094,36,1251165,3081,3638,2519,146,3566,,997,15510000000,,,47,5,4038
39,318,2295,2713,28,395536,3728,3419,2270,152,3567,,2875,1310000000,,,183,5,4039
40,280,5467,2952,26,1282539,3729,3639,2520,155,4407,,156,24440000000,239,55,188,5,4040
41,667,5470,4097,13,330830,1246,1929,86,159,2898,,343,145480000,,,195,5,4041
42,606,3729,4099,90,440519,3730,3640,2521,162,129,,1920,3930000000,,,198,5,4042
43,214,4530,1966,115,321748,3731,3641,2522,165,131,,478,2080000000,,,203,5,4043
44,589,5472,4101,594,1915387,3732,3642,2523,168,133,,2343,7580000000,133,17,209,5,4044
45,312,5476,4102,1,22043652,1400,2017,2524,172,136,,2799,1.2387E+11,138,42,205,5,4045
46,307,5226,3152,46,466132,3479,3569,2525,178,143,,910,948740000,,,222,5,4046
47,263,5479,4103,67,516903,3734,3644,1830,3547,145,,100,1420000000,,,226,5,4047
48,314,5481,4106,42,345479,3736,3645,2526,183,148,,3630,7940000000,,,36,5,4048
49,119,5484,4108,52,191828,3738,109,2527,2400,151,,563,1840000000,,,235,5,4049
50,496,1682,2878,23,22331,943,2763,2390,3551,153,,1123,118500000,21,59,239,5,4050
51,37,5486,4111,17,1556212,1586,3646,236,197,157,,6579,632540000,,,5,5,4051
52,1087,5487,1625,10,7638,3739,55,2528,201,3575,,2,157500000,,,245,5,4052
53,,1,4112,,19238240,3740,948,2,1,4408,,4429,1.8482E+11,144,61,247,5,4053
54,604,5488,4113,239,551475,1658,3648,2532,2822,165,,815,3060000000,158,65,98,5,4054
55,27,5366,4114,6,188110,3741,1267,2533,212,168,,2,172500000,,,73,5,4055
56,214,1320,552,113,920515,1170,3649,2534,217,4409,,2,3830000000,405,68,258,5,4056
57,128,4209,2427,46,237160,183,3116,192,222,173,,6592,965280000,,,261,5,4057
58,217,5491,671,4,1874301,2579,1973,1521,225,2496,,2,4700000000,,,263,5,4058
59,870,5492,4115,599,705355,3742,810,2535,4732,179,,4278,6010000000,157,70,265,5,4059
60,139,5315,393,19,131136,3743,876,2536,232,182,,3766,340580000,164,75,273,5,4060
61,203,5494,2070,157,136734,3744,3630,2537,236,184,,6605,1460000000,,,195,5,4061
62,860,5496,4119,72,337825,227,2095,2538,239,186,,2372,2150000000,167,78,279,5,4062
63,335,4422,4120,121,151891,3745,3651,2255,243,3586,,2,236090000,,,288,5,4063
64,500,5497,3624,47,1534926,3746,3652,2539,246,4410,,4963,496840000,531,17,293,5,4064
65,1186,302,3293,200,667937,2660,3179,2540,250,196,,5271,453430000,,,196,5,4065
