Symbol,Change_C$,Last_Trading_Price,Open_price,Change$,volume,Today's_high,Today's_low,Previous_close,52wkHigh,52wkLow,Shares_Outstanding,P/E,Marketcap,Yield,Dividend,EPS,attribute9,attribute10
1,2,1,1,1,119929,1,1,,1,1,19995000,,624431000,,,2,1,1
2,6,3,4,3,4569009,3,4,,6,4,358064000,8,4860716000,3,3,8,1,2
3,10,7,7,5,70635,5,6,,11,7,20220000,19,262256000,12,5,11,1,3
4,14,10,9,8,674663,7,8,,14,10,121827000,40,9044402000,20,10,17,1,4
5,17,13,11,3,390774,10,10,,19,13,38742000,51,111577000,,,20,1,5
6,23,16,15,10,513983,12,12,,23,16,22729000,70,945306000,27,14,23,1,6
7,27,19,18,3,251508,14,15,,27,19,74997000,83,1344703000,34,17,29,1,7
8,11,22,21,12,924526,16,17,,32,21,126811000,99,5497267000,,,36,1,8
9,33,26,24,14,582592,18,19,,37,24,32222000,112,765284000,42,22,42,1,9
10,34,28,28,15,156511,20,22,,42,26,21924000,131,841651000,,,46,1,10
11,37,30,31,16,41700,22,24,,46,28,13402000,,191032000,,,52,1,11
12,40,33,34,18,84143,24,26,,50,32,26620000,145,179150000,48,22,59,1,12
13,41,35,36,19,1487544,26,28,,54,35,146831000,158,4043712000,55,28,63,1,13
14,44,38,40,17,57568,28,30,,57,37,15039000,169,239837000,,,6,1,14
15,47,40,43,21,92252,30,32,,60,39,35028000,,510360000,,,70,1,15
16,50,42,47,2,414923,32,35,,63,41,54291000,,12487000,,,73,1,16
17,58,46,50,24,61347,34,36,,67,44,22845000,69,3386700000,,,81,1,17
18,62,49,52,26,157370,36,38,,70,47,42586000,190,901968000,,,89,1,18
19,65,52,55,20,95266,38,40,,74,51,27710000,200,1245824000,62,4,93,1,19
20,67,56,57,29,126845,40,42,,78,54,41591000,215,2084564000,70,24,101,1,20
21,70,59,59,31,103830,42,44,,82,58,18871000,230,417804000,77,22,106,1,21
22,73,62,62,6,86709,44,46,,85,60,43816000,,197608000,82,39,111,1,22
23,76,65,65,33,980566,46,49,,90,64,63355000,,2233278000,,,117,1,23
24,,,,,,,,,,,,,,,,,1,24
25,81,72,75,35,2183239,53,55,,96,68,61655000,254,1633846000,,,124,1,25
26,85,74,77,36,84381,55,58,,101,71,49051000,270,896347000,,,127,1,26
27,87,77,79,38,2300895,57,60,,104,74,176858000,279,9866908000,,,132,1,27
28,90,84,82,42,125593,61,62,,109,77,15054000,292,564375000,78,28,136,1,28
29,91,86,85,38,11968775,63,64,,113,80,1669532000,303,96632520000,88,41,141,1,29
30,94,92,88,45,389954,65,66,,117,84,74537000,,933954000,93,43,146,1,30
31,96,95,90,47,455658,67,69,,120,87,44748000,320,340532000,97,45,149,1,31
32,100,99,93,48,23886,69,71,,124,90,16441000,325,331459000,102,46,154,1,32
33,103,103,97,50,91187,72,74,,128,95,44947000,337,436880000,109,49,159,1,33
34,90,105,99,51,53950,75,76,,131,98,17517000,,197064000,,,166,1,34
35,105,108,101,52,878187,77,79,,135,102,167964000,355,6574129000,113,45,19,1,35
36,108,112,104,54,741071,79,81,,140,108,132319000,373,37770370000,122,52,177,1,36
37,109,116,106,55,13036144,81,83,,143,111,600288000,382,9691656000,,,15,1,37
38,115,122,109,58,1659407,83,86,,146,113,187995000,402,15186270000,,,49,1,38
39,119,127,112,62,347053,87,88,,152,118,39652000,422,1291065000,,,14,1,39
40,114,130,115,64,1401595,89,90,,156,121,421960000,439,24549650000,128,56,189,1,40
41,121,133,117,66,491467,91,92,,159,126,35870000,451,144916000,,,195,1,41
42,70,136,121,51,451291,93,94,,162,129,221150000,311,3845798000,,,199,1,42
43,128,140,124,20,272604,95,96,,165,131,52491000,477,2079161000,,,204,1,43
44,126,142,127,69,447331,97,99,,169,134,85540000,488,7764465000,134,22,210,1,44
45,130,146,130,71,42742895,99,50,,173,137,2906000000,506,1.24609E+11,139,43,217,1,45
46,134,151,133,74,494894,101,102,,178,143,43407000,517,963194000,,,223,1,46
47,57,153,136,75,589981,103,104,,180,145,40742000,527,1417815000,,,227,1,47
48,139,156,138,77,516502,105,106,,183,148,85849000,547,7831145000,,,96,1,48
49,12,160,140,78,308623,107,109,,186,151,31970000,560,1746543000,,,235,1,49
50,143,162,143,81,41687,110,111,,192,154,14634000,569,118975000,21,60,30,1,50
51,147,166,146,14,1994685,112,113,,197,157,68983000,,632576000,,,242,1,51
52,149,168,149,84,17457,115,115,,201,159,6354000,590,137688000,,,245,1,52
53,103,172,151,82,18260237,117,117,,204,162,5922000000,606,1.87722E+11,142,62,248,1,53
54,156,179,154,87,898678,119,119,,207,166,51343000,618,3008727000,149,66,252,1,54
55,159,183,156,90,121683,121,122,,212,168,45098000,,170470000,,,256,1,55
56,162,186,158,91,590736,123,124,,218,171,89897000,634,4052340000,152,69,43,1,56
57,164,190,161,27,346556,125,126,,222,173,60972000,,1007264000,,,261,1,57
58,166,193,163,94,1846807,127,128,,225,177,189630000,,4733154000,,,264,1,58
59,1,195,165,95,325804,129,130,,229,180,82691000,649,6142283000,158,71,92,1,59
60,167,198,167,68,135588,131,132,,233,68,16467000,464,353052000,162,76,273,1,60
61,,201,171,,89156,133,135,,236,184,25839000,677,1406412000,,,278,1,61
62,142,204,174,98,337647,136,137,,240,187,65291000,690,2063840000,168,44,153,1,62
63,122,208,177,100,153016,138,139,,243,190,19773000,,234306000,,,286,1,63
64,175,211,180,46,1157736,141,141,,247,194,79277000,697,476456000,173,22,161,1,64
65,176,214,182,32,228559,143,143,,250,196,26394000,703,419664000,,,196,1,65
66,177,218,185,26,8452409,145,145,,254,200,915013000,723,46931030000,114,80,157,1,66
67,117,221,188,98,520638,147,148,,257,204,61197000,734,3988843000,,,305,1,67
68,180,224,191,90,143845,149,151,,261,206,21304000,,90967000,,,311,1,68
69,,,,,,,,,,,,,,,,,1,69
70,105,232,199,27,1031891,155,158,,272,214,172750000,756,3582664000,185,24,321,1,70
71,120,234,202,34,246078,157,160,,276,216,55325000,,231811000,,,324,1,71
72,185,237,205,105,4868306,159,162,,280,220,358761000,775,6375181000,,,328,1,72
73,189,240,208,79,125110,161,164,,283,222,28388000,787,144497000,,,329,1,73
74,190,243,210,90,571871,163,166,,286,224,337660000,,580775000,,,148,1,74
75,194,245,7,17,147750,4,168,,289,227,23856000,800,315853000,,,332,1,75
76,196,248,215,107,6187177,166,170,,292,229,529454000,806,28569340000,,,40,1,76
77,201,255,218,8,330824,169,173,,296,232,40142000,818,1450313000,195,84,339,1,77
78,204,258,221,13,14397184,171,175,,299,235,845330000,832,7853114000,,,341,1,78
79,101,261,224,16,56477627,173,177,,303,237,5500185000,846,87507940000,134,76,343,1,79
80,210,267,228,110,821919,175,179,,306,240,40959000,,1280802000,,,344,1,80
81,214,271,86,9,142772,177,182,,310,242,21914000,864,1259412000,,,120,1,81
82,216,107,234,7,20073,179,184,,315,245,14004000,94,157682000,202,76,349,1,82
83,220,277,236,27,661731,181,186,,318,248,52674000,297,594687000,165,82,13,1,83
84,222,279,121,84,4344196,183,188,,321,250,116997000,892,1985440000,,,223,1,84
85,227,282,241,56,871668,185,190,,327,252,49135000,904,1497636000,,,352,1,85
86,206,285,244,57,94062,187,192,,331,254,19918000,917,243396000,,,158,1,86
87,230,288,247,5,41723,189,194,,336,256,15741000,933,54149000,206,85,241,1,87
88,58,292,251,113,2930250,192,197,,340,260,294861000,939,10806670000,209,87,122,1,88
89,235,294,254,32,1179591,194,200,,346,265,69079000,,337799000,,,357,1,89
90,,,,,,,,,,,,,,,,,1,90
91,106,299,262,118,2463872,200,207,,355,273,315658000,910,30467300000,218,87,360,1,91
92,239,302,239,3,462606,202,209,,358,213,51118000,967,883316000,,,365,1,92
93,240,304,266,101,199003,204,212,,100,277,24760000,975,418451000,,91,224,1,93
94,242,305,268,28,2327862,206,214,,366,280,406027000,988,15116380000,225,89,163,1,94
95,140,308,270,121,435488,208,168,,369,284,50225000,1006,659952000,,,322,1,95
96,245,311,273,74,102265,210,217,,375,287,15027000,442,691405000,,,372,1,96
97,247,314,276,122,1663763,212,219,,381,290,203853000,1021,4764055000,232,96,93,1,97
98,248,318,278,105,1829826,214,221,,385,211,38030000,249,260884000,236,76,61,1,98
99,255,322,281,126,82538,218,223,,393,300,11356000,1046,453668000,243,59,383,1,99
100,112,324,285,127,1385332,220,225,,398,303,190480000,1062,7304895000,247,72,144,1,100
