Symbol,Change_C$,Last_Trading_Price,Open_price,Change$
1,4,1,1,1
2,6,4,4,3
3,12,7,7,5
4,15,10,9,8
5,19,13,11,3
6,25,16,15,10
7,29,19,18,3
8,31,22,21,12
9,31,26,24,14
10,36,28,28,15
11,38,30,31,16
12,40,33,34,18
13,42,35,36,19
14,46,38,40,17
15,49,40,43,21
16,52,42,47,2
17,60,46,50,24
18,63,49,52,26
19,15,52,55,20
20,68,56,57,29
21,72,59,59,31
22,74,62,62,6
23,78,65,65,33
24,83,72,75,35
25,83,72,75,35
26,85,74,77,36
27,4,77,79,38
28,63,84,82,42
29,42,86,85,38
30,4,92,88,45
31,98,95,90,47
32,101,99,93,48
33,29,103,97,50
34,63,105,99,51
35,60,108,101,52
36,108,112,104,54
37,110,117,106,55
38,6,122,109,58
39,15,127,112,62
40,15,130,115,64
41,123,133,117,66
42,72,136,121,51
43,63,140,124,20
44,72,142,127,69
45,132,146,130,71
46,135,151,133,74
47,137,153,136,75
48,108,156,138,77
49,12,160,140,78
50,143,162,143,81
