sample,change%,last_trade_price,open_price,volumn,today_high,today_low,previous_close,52wk_H,52wk_L,,,
4,11,7155,8512,842725,7355,5147,,,,,,
27,956,9167,8555,2169090,4367,2422,,,,,,
29,492,7428,8556,11289682,7911,2304,,,,,,
37,617,9852,259,14150590,7913,7711,,,,,,
38,159,6185,6773,1007462,2507,7712,,,,,,
48,473,8624,6705,289716,7916,7715,,,,,,
76,492,3303,655,9117919,6038,5665,,,,,,
79,1016,2907,4193,33729068,4559,1751,,,,,,
88,31,8995,3919,1631772,6049,5987,,,,,,
100,639,668,3027,1790396,1082,2134,,,,,,
102,577,7152,3795,4484278,5671,5901,,,,,,
110,1140,11033,7227,4045886,4748,6965,,,,,,
112,61,9237,5082,1528564,7926,5068,,,,,,
121,789,11825,8568,1462991,6309,7722,,,,,,
123,370,7664,8569,1614551,2804,1477,,,,,,
148,772,2562,4126,1945208,2712,5762,,,,,,
152,623,127,4427,578201,6217,2454,,,,,,
168,208,11840,8578,5821033,7933,7729,,,,,,
171,509,2772,4752,5004225,1995,6868,,,,,,
177,912,865,3344,3710196,1088,2801,,,,,,
181,1078,11849,8581,1269958,7934,7735,,,,,,
201,836,7803,7961,3050064,6962,7740,,,,,,
205,529,2796,2439,40512137,6203,4741,,,,,,
209,215,3721,1407,107491136,6279,5156,,,,,,
214,428,6602,969,1742119,1477,6286,,,,,,
216,135,11065,7222,4909721,4212,7741,,,,,,
240,668,11040,8597,1896469,7943,1966,,,,,,
267,880,6036,2126,2254538,3661,3288,,,,,,
279,856,8222,2308,329218,6789,7375,,,,,,
290,485,11870,4435,962566,7948,7759,,,,,,
291,183,6312,6115,3724003,7949,7760,,,,,,
295,925,6749,3794,1094791,2876,7761,,,,,,
322,499,9395,7557,586170,7955,1801,,,,,,
325,498,4844,4158,1139088,4415,6002,,,,,,
359,109,11889,8612,20932604,1166,7773,,,,,,
362,509,11897,8614,3110096,7958,7774,,,,,,
383,717,8944,8618,1378584,7962,7777,,,,,,
407,1040,6194,1829,1233834,411,6039,,,,,,
423,592,11907,7962,1293781,3855,7785,,,,,,
462,292,3109,3039,1655488,5692,5134,,,,,,
464,373,2390,7931,1300101,1612,5190,,,,,,
466,7,3123,4674,994022,7122,4459,,,,,,
470,411,11330,1774,3551862,806,6364,,,,,,
500,261,7287,6844,711063,7979,6697,,,,,,
502,129,1953,6382,2226543,6064,7769,,,,,,
507,227,2255,1534,6431427,7417,2867,,,,,,
516,485,6006,8013,2383078,4650,6251,,,,,,
529,490,9655,510,3546140,3038,6600,,,,,,
546,1040,2125,1283,2377846,1778,6125,,,,,,
549,245,4888,7102,16641094,3985,2887,,,,,,
554,796,5938,6100,20663482,1630,3892,,,,,,
555,789,3952,8640,773072,7984,7801,,,,,,
556,748,3209,5944,3155597,1074,3347,,,,,,
562,216,4306,4147,4785854,5672,6814,,,,,,
580,468,4040,8645,5157587,7663,7806,,,,,,
591,563,3139,2600,8654632,460,5938,,,,,,
627,838,2719,1883,16259324,5181,2287,,,,,,
632,471,11956,8652,3324830,8004,7815,,,,,,
641,217,4209,306,15198026,805,127,,,,,,
643,1300,3968,2900,7187142,2901,6233,,,,,,
670,755,2818,2921,24647158,4464,2727,,,,,,
671,1040,1122,8660,782600,6953,148,,,,,,
696,562,2568,844,21300097,757,635,,,,,,
700,912,4424,4291,2322127,1018,790,,,,,,
707,610,9396,6637,2428763,5157,3130,,,,,,
748,411,2295,2640,2020452,708,965,,,,,,
759,261,4690,8676,1682646,2873,7835,,,,,,
760,270,2396,7527,19070300,8017,1547,,,,,,
768,835,4935,8677,1615683,8018,2198,,,,,,
776,292,6456,4907,3543335,403,1911,,,,,,
792,887,9851,6258,1104821,6240,3290,,,,,,
803,480,11995,8680,1077639,8023,7842,,,,,,
806,390,12003,8682,381226,8024,7843,,,,,,
813,736,24,4647,2367318,3082,5469,,,,,,
825,804,7137,4304,3319460,5636,1579,,,,,,
829,468,2324,7432,5074531,8026,7844,,,,,,
835,291,2611,4337,13465430,3285,2382,,,,,,
838,615,1401,6978,11032083,3535,344,,,,,,
848,504,6393,8689,1214999,5477,5551,,,,,,
849,135,6886,5118,8397588,3459,3166,,,,,,
861,862,2580,2133,16593203,1753,7850,,,,,,
863,684,769,1627,6030303,441,1350,,,,,,
877,480,846,7,12021588,538,5118,,,,,,
888,494,7821,3891,3368193,7885,3112,,,,,,
895,424,7310,8696,2910267,8041,7856,,,,,,
913,377,5878,2269,1745737,2749,3506,,,,,,
922,616,2394,4868,5024518,433,1538,,,,,,
940,377,10923,7541,831176,8048,7862,,,,,,
949,435,161,4077,1362287,2186,1581,,,,,,
959,908,191,2902,2421663,2166,4084,,,,,,
960,247,12039,8703,10017903,8051,7867,,,,,,
968,1256,3919,2015,8919932,3843,228,,,,,,
970,350,138,226,8847815,2228,3981,,,,,,
976,496,12050,8708,447917,8055,7870,,,,,,
980,1100,7099,1220,5186805,6415,1980,,,,,,
981,615,8102,861,1664622,5827,5477,,,,,,
984,148,5991,4051,2892077,3579,3112,,,,,,
988,182,8182,8709,833913,5680,6475,,,,,,
989,72,922,934,10324055,541,5670,,,,,,
998,643,12063,6699,283482,8057,7874,,,,,,
4,11,7155,8512,704470,7355,5147,3623,4719,520,,,
27,956,9167,8555,1909376,4367,2422,267,4727,73,,,
29,492,7428,8556,9624147,7911,2304,83,112,8375,,,
37,617,9852,259,13380582,7913,7711,3528,143,111,,,
38,159,6185,6773,919592,2507,7712,6945,146,6239,,,
48,473,8624,6705,265624,7917,7715,6512,183,148,,,
76,492,3303,655,8531076,6038,5665,5420,292,8391,,,
79,1016,2907,4193,31539806,4559,1751,5178,3568,2924,,,
88,31,8995,3919,1376070,6049,5987,6953,7716,1369,,,
100,639,668,3027,1521390,1082,2134,6955,397,2116,,,
102,577,7152,3795,4103381,5671,5901,6957,405,4750,,,
110,1140,11033,7227,3571118,4748,6965,6959,439,504,,,
112,61,9237,5082,1442111,7926,5068,3000,444,2514,,,
121,789,11825,8568,1351903,6309,7722,6960,476,363,,,
123,370,7664,8569,1430151,2804,1477,6962,483,1131,,,
148,772,2562,4126,1945208,2712,5762,440,569,439,,,
152,623,127,4427,516882,6217,2454,6972,583,449,,,
168,208,11840,8578,5589890,7933,7729,6977,6197,491,,,
171,509,2772,4752,4442403,1995,6868,3310,3638,497,,,
177,912,865,3344,3710196,1088,587,1333,674,3690,,,
181,1078,11849,8581,1197566,7934,7735,6980,690,532,,,
201,836,7803,7961,2576763,6962,7740,6986,755,3008,,,
205,529,2796,2439,37662809,6203,4741,1218,770,606,,,
209,215,3721,1407,102517712,6279,5156,3028,784,3014,,,
214,155,6602,969,1465640,1477,6286,6990,804,7393,,,
216,135,11065,7222,4401766,4212,7741,2346,811,2558,,,
240,668,11040,8597,1766646,7943,1966,6997,7220,4030,,,
267,880,6036,2126,1997078,3661,3288,5411,986,765,,,
279,856,8222,6247,295658,6789,7375,6855,4812,2569,,,
290,485,11870,4435,832374,7948,7759,7011,1066,4724,,,
291,183,6312,6115,3414837,7949,7760,7012,1070,44,,,
295,925,6749,3794,1035391,2876,7761,7013,4326,846,,,
322,499,9395,7557,525945,7955,1801,1849,1172,480,,,
325,498,4844,4158,971637,4415,6002,7021,1182,2977,,,
359,109,11889,8612,20853665,1166,7773,7025,8154,1010,,,
362,509,11897,8614,2882867,7958,7774,7026,1300,2612,,,
383,717,8944,8618,1317191,7962,7777,7030,1373,1069,,,
407,1040,6194,1829,1132454,411,6039,1205,1450,1131,,,
423,592,11907,7962,1276206,3855,7785,7036,5246,2633,,,
462,292,3109,3039,1525437,5692,5134,5885,1629,1265,,,
464,373,2390,7931,1170159,1612,5190,6489,1637,1269,,,
